year,step,date,dose_kg_ha,action_index,blocked,blocked_reasons,classifier_index
1983,29,1983-04-22,20.0,2,False,,105
1983,30,1983-04-29,50.0,5,False,,618
1983,31,1983-05-06,40.0,4,False,,473
1983,31,1983-05-06,40.0,4,False,,493
1983,31,1983-05-06,40.0,4,False,,690
1983,31,1983-05-06,40.0,4,False,,721
1983,32,1983-05-13,40.0,4,False,,722
1984,30,1984-04-28,20.0,2,False,,105
1984,31,1984-05-05,50.0,5,False,,618
1984,32,1984-05-12,40.0,4,False,,493
1984,32,1984-05-12,40.0,4,False,,690
1984,32,1984-05-12,40.0,4,False,,721
1984,33,1984-05-19,40.0,4,False,,722
1985,29,1985-04-22,20.0,2,False,,105
1985,30,1985-04-29,50.0,5,False,,618
1985,31,1985-05-06,40.0,4,False,,473
1985,31,1985-05-06,40.0,4,False,,493
1985,31,1985-05-06,40.0,4,False,,690
1985,31,1985-05-06,40.0,4,False,,721
1985,33,1985-05-20,40.0,4,False,,722
1986,31,1986-05-06,20.0,2,False,,105
1986,32,1986-05-13,50.0,5,False,,618
1986,33,1986-05-20,40.0,4,False,,493
1986,33,1986-05-20,40.0,4,False,,690
1986,33,1986-05-20,40.0,4,False,,721
1986,34,1986-05-27,20.0,2,False,,99
1988,28,1988-04-14,20.0,2,False,,105
1988,29,1988-04-21,50.0,5,False,,618
1988,30,1988-04-28,40.0,4,False,,493
1988,30,1988-04-28,40.0,4,False,,690
1988,30,1988-04-28,40.0,4,False,,721
1988,31,1988-05-05,10.0,1,False,,222
1989,27,1989-04-08,20.0,2,False,,105
1989,28,1989-04-15,50.0,5,False,,618
1989,29,1989-04-22,40.0,4,False,,493
1989,29,1989-04-22,40.0,4,False,,690
1989,29,1989-04-22,40.0,4,False,,721
1989,30,1989-04-29,10.0,1,False,,222
1990,26,1990-04-01,20.0,2,False,,105
1990,27,1990-04-08,50.0,5,False,,618
1990,28,1990-04-15,40.0,4,False,,493
1990,28,1990-04-15,40.0,4,False,,690
1990,28,1990-04-15,40.0,4,False,,721
1990,29,1990-04-22,10.0,1,False,,222
1991,28,1991-04-15,20.0,2,False,,105
1991,29,1991-04-22,50.0,5,False,,618
1991,30,1991-04-29,40.0,4,False,,493
1991,30,1991-04-29,40.0,4,False,,690
1991,30,1991-04-29,40.0,4,False,,721
1991,31,1991-05-06,20.0,2,False,,99
1992,28,1992-04-14,20.0,2,False,,105
1992,29,1992-04-21,50.0,5,False,,618
1992,30,1992-04-28,40.0,4,False,,493
1992,30,1992-04-28,40.0,4,False,,690
1992,30,1992-04-28,40.0,4,False,,721
1992,31,1992-05-05,30.0,3,False,,88
1992,31,1992-05-05,30.0,3,False,,512
1992,31,1992-05-05,30.0,3,False,,513
1993,28,1993-04-15,20.0,2,False,,105
1993,29,1993-04-22,50.0,5,False,,618
1993,30,1993-04-29,40.0,4,False,,472
1993,30,1993-04-29,40.0,4,False,,493
1993,30,1993-04-29,40.0,4,False,,690
1993,30,1993-04-29,40.0,4,False,,721
1993,31,1993-05-06,20.0,2,False,,99
1995,27,1995-04-08,20.0,2,False,,105
1995,28,1995-04-15,50.0,5,False,,618
1995,29,1995-04-22,40.0,4,False,,493
1995,29,1995-04-22,40.0,4,False,,690
1995,29,1995-04-22,40.0,4,False,,721
1995,30,1995-04-29,20.0,2,False,,99
1995,30,1995-04-29,20.0,2,False,,152
1996,30,1996-04-28,10.0,1,False,,34
1996,30,1996-04-28,10.0,1,False,,188
1996,30,1996-04-28,10.0,1,False,,205
1996,30,1996-04-28,10.0,1,False,,699
1996,30,1996-04-28,10.0,1,False,,724
1996,30,1996-04-28,10.0,1,False,,725
1996,31,1996-05-05,50.0,5,False,,618
1996,32,1996-05-12,60.0,6,False,,523
1996,33,1996-05-19,40.0,4,False,,295
1996,33,1996-05-19,40.0,4,False,,722
1997,27,1997-04-08,20.0,2,False,,105
1997,28,1997-04-15,50.0,5,False,,618
1997,29,1997-04-22,40.0,4,False,,473
1997,29,1997-04-22,40.0,4,False,,493
1997,29,1997-04-22,40.0,4,False,,690
1997,29,1997-04-22,40.0,4,False,,721
1997,30,1997-04-29,40.0,4,False,,722
1998,27,1998-04-08,20.0,2,False,,105
1998,28,1998-04-15,50.0,5,False,,618
1998,29,1998-04-22,40.0,4,False,,493
1998,29,1998-04-22,40.0,4,False,,690
1998,29,1998-04-22,40.0,4,False,,721
1998,30,1998-04-29,40.0,4,False,,722
1999,28,1999-04-15,10.0,1,False,,34
1999,28,1999-04-15,10.0,1,False,,188
1999,28,1999-04-15,10.0,1,False,,699
1999,28,1999-04-15,10.0,1,False,,725
1999,29,1999-04-22,50.0,5,False,,618
1999,30,1999-04-29,30.0,3,False,,251
1999,31,1999-05-06,10.0,1,False,,222
2000,27,2000-04-07,20.0,2,False,,105
2000,28,2000-04-14,50.0,5,False,,618
2000,29,2000-04-21,40.0,4,False,,493
2000,29,2000-04-21,40.0,4,False,,690
2000,29,2000-04-21,40.0,4,False,,721
2000,30,2000-04-28,10.0,1,False,,222
2002,27,2002-04-08,20.0,2,False,,105
2002,28,2002-04-15,50.0,5,False,,618
2002,29,2002-04-22,40.0,4,False,,493
2002,29,2002-04-22,40.0,4,False,,690
2002,30,2002-04-29,10.0,1,False,,222
2003,28,2003-04-15,20.0,2,False,,105
2003,29,2003-04-22,50.0,5,False,,618
2003,30,2003-04-29,40.0,4,False,,493
2003,30,2003-04-29,40.0,4,False,,690
2003,30,2003-04-29,40.0,4,False,,721
2003,31,2003-05-06,40.0,4,False,,722
2004,28,2004-04-14,20.0,2,False,,105
2004,29,2004-04-21,50.0,5,False,,618
