year,classifier_index,match_count,fire_count,matched,fired
1983,0,1,1,True,True
1983,2,4,0,True,False
1983,4,27,2,True,True
1983,5,21,0,True,False
1983,10,1,0,True,False
1983,11,1,0,True,False
1983,17,1,0,True,False
1983,18,4,0,True,False
1983,28,5,0,True,False
1983,44,19,0,True,False
1983,47,1,0,True,False
1983,81,2,0,True,False
1983,109,3,0,True,False
1983,128,5,0,True,False
1983,199,3,0,True,False
1983,200,3,0,True,False
1983,245,3,2,True,True
1983,306,2,0,True,False
1983,308,1,0,True,False
1983,381,27,0,True,False
1983,384,3,0,True,False
1983,385,1,0,True,False
1983,403,1,0,True,False
1983,404,25,25,True,True
1983,406,1,0,True,False
1983,409,19,0,True,False
1983,431,3,1,True,True
1983,451,4,0,True,False
1983,469,1,0,True,False
1983,475,19,19,True,True
1983,479,1,0,True,False
1983,493,3,0,True,False
1983,503,2,0,True,False
1983,508,1,1,True,True
1983,527,1,0,True,False
1983,536,3,1,True,True
1983,553,1,0,True,False
1983,567,3,0,True,False
1983,569,2,0,True,False
1983,570,2,0,True,False
1983,586,2,0,True,False
1983,587,3,0,True,False
1983,597,6,4,True,True
1983,615,1,0,True,False
1983,616,1,0,True,False
1983,621,12,12,True,True
1983,625,4,0,True,False
1983,633,5,0,True,False
1983,649,2,0,True,False
1983,659,4,0,True,False
1983,668,2,0,True,False
1983,699,1,0,True,False
1983,715,1,1,True,True
1983,722,1,0,True,False
1983,728,2,0,True,False
1983,735,2,0,True,False
1983,738,1,1,True,True
1983,744,1,0,True,False
1983,750,4,0,True,False
1983,764,3,1,True,True
1983,765,1,0,True,False
1983,774,20,0,True,False
1983,777,1,1,True,True
1983,786,2,0,True,False
1983,787,2,0,True,False
1983,793,2,1,True,True
1983,796,5,4,True,True
1983,799,6,6,True,True
1984,2,2,0,True,False
1984,4,27,2,True,True
1984,5,23,0,True,False
1984,18,2,0,True,False
1984,44,26,0,True,False
1984,81,1,0,True,False
1984,128,1,0,True,False
1984,149,3,0,True,False
1984,199,3,0,True,False
1984,200,3,0,True,False
1984,223,4,0,True,False
1984,243,1,0,True,False
1984,245,1,1,True,True
1984,274,1,0,True,False
1984,306,1,0,True,False
1984,308,1,0,True,False
1984,334,6,0,True,False
1984,354,2,0,True,False
1984,381,28,0,True,False
1984,384,3,0,True,False
1984,398,3,0,True,False
1984,403,1,0,True,False
1984,404,25,25,True,True
1984,406,1,0,True,False
1984,409,19,0,True,False
1984,431,2,0,True,False
1984,451,4,0,True,False
1984,475,18,18,True,True
1984,479,1,0,True,False
1984,493,1,0,True,False
1984,503,2,0,True,False
1984,523,4,0,True,False
1984,526,1,1,True,True
1984,527,3,0,True,False
1984,536,2,0,True,False
1984,553,1,0,True,False
1984,567,4,0,True,False
1984,568,6,0,True,False
1984,569,2,1,True,True
1984,570,1,1,True,True
1984,579,5,0,True,False
1984,586,2,0,True,False
1984,587,3,0,True,False
1984,588,5,5,True,True
1984,597,7,5,True,True
1984,600,1,0,True,False
1984,615,1,0,True,False
