classifier_index,action,p,eps,F,exp,num,as_size,ts_ga,DVS_lo,DVS_hi,DVS_mask,DVS_lo_raw,DVS_hi_raw,LAI_lo,LAI_hi,LAI_mask,LAI_lo_raw,LAI_hi_raw,RFTRA_lo,RFTRA_hi,RFTRA_mask,RFTRA_lo_raw,RFTRA_hi_raw,WSO_lo,WSO_hi,WSO_mask,WSO_lo_raw,WSO_hi_raw,Nsurp_sofar_lo,Nsurp_sofar_hi,Nsurp_sofar_mask,Nsurp_sofar_lo_raw,Nsurp_sofar_hi_raw,last_dose_kg_ha_lo,last_dose_kg_ha_hi,last_dose_kg_ha_mask,last_dose_kg_ha_lo_raw,last_dose_kg_ha_hi_raw,last_app_gap_days_lo,last_app_gap_days_hi,last_app_gap_days_mask,last_app_gap_days_lo_raw,last_app_gap_days_hi_raw,cum_N_applied_kg_ha_lo,cum_N_applied_kg_ha_hi,cum_N_applied_kg_ha_mask,cum_N_applied_kg_ha_lo_raw,cum_N_applied_kg_ha_hi_raw,IRRAD_7_lo,IRRAD_7_hi,IRRAD_7_mask,IRRAD_7_lo_raw,IRRAD_7_hi_raw,TMEAN_7_lo,TMEAN_7_hi,TMEAN_7_mask,TMEAN_7_lo_raw,TMEAN_7_hi_raw,RAIN_7_lo,RAIN_7_hi,RAIN_7_mask,RAIN_7_lo_raw,RAIN_7_hi_raw,Ndep_sum_lo,Ndep_sum_hi,Ndep_sum_mask,Ndep_sum_lo_raw,Ndep_sum_hi_raw,SM_mean_lo,SM_mean_hi,SM_mean_mask,SM_mean_lo_raw,SM_mean_hi_raw
0,4,-6.828942655237679,2.474298667690871,0.9157272313387897,98,1,1.3245200523527982,18509,0.14088424849430664,0.6448842484943067,0,0.14088424849430664,0.6448842484943067,0.0,1.0,1,0.0,8.0,0.88,1.1,0,0.88,1.1,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,0.0,43.8,0,0.0,43.8,-23.199999999999996,63.199999999999996,0,-23.199999999999996,63.199999999999996,210.0,106699974.8,0,210.0,106699974.8,-10.0,30.0,1,-10.0,30.0,0.0,200.0,1,0.0,200.0,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
1,6,-6.924071801251078,2.9336288962901977,0.9878717702305597,60,1,1.123640470613292,14624,0.4281482630479919,0.9321482630479919,0,0.4281482630479919,0.9321482630479919,0.0,1.0,1,0.0,8.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,29.200000000000003,50.8,0,29.200000000000003,50.8,0.0,43.8,0,0.0,43.8,46.800000000000004,133.2,0,46.800000000000004,133.2,210.0,107199974.8,0,210.0,107199974.8,-10.0,30.0,1,-10.0,30.0,0.0,200.0,1,0.0,200.0,-30.0,36.00015788781743,0,-30.0,36.00015788781743,0.0,1.0,1,0.0,1.0
2,7,-14.357201116807715,5.127503052138168,0.8320168069531572,100,1,1.6343260865575504,18757,0.5375726422804975,1.0415726422804976,0,0.5375726422804975,1.0415726422804976,0.3849672777363139,0.6249672777363139,0,3.079738221890511,4.999738221890511,0.0,1.0,1,0.0,1.0,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,0.0,43.8,0,0.0,43.8,106.80000000000001,193.2,0,106.80000000000001,193.2,210.0,111999974.8,0,210.0,111999974.8,8.45,18.05,0,8.45,18.05,-17.27,30.73,0,-17.27,30.73,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
3,0,-6.0398100662934855,2.1987337539283924,0.8968917712789701,32,1,1.3134976842411685,16402,0.5375726422804975,1.0415726422804976,0,0.5375726422804975,1.0415726422804976,0.3849672777363139,0.6249672777363139,0,3.079738221890511,4.999738221890511,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-67.67116482711951,-19.67116482711951,0,-67.67116482711951,-19.67116482711951,49.2,70.8,0,49.2,70.8,0.0,43.8,0,0.0,43.8,106.80000000000001,193.2,0,106.80000000000001,193.2,0.0,210.0,1,0.0,210.0,8.45,18.05,0,8.45,18.05,-17.27,30.73,0,-17.27,30.73,-30.0,36.00318683012592,0,-30.0,36.00318683012592,0.0,1.0,1,0.0,1.0
4,5,-16.281065895841333,0.0006470368491050016,0.9999999999999999,6312,1,1.0000000000000002,19058,-0.03836666734542121,0.4656333326545788,0,-0.03836666734542121,0.4656333326545788,0.0,1.0,1,0.0,8.0,0.88,1.1,0,0.88,1.1,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,321.2,365.0,0,321.2,365.0,-36.0,43.199999999999996,0,-36.0,43.199999999999996,210.0,80599974.8,0,210.0,80599974.8,-10.0,30.0,1,-10.0,30.0,0.0,200.0,1,0.0,200.0,-30.0,36.00204317249175,0,-30.0,36.00204317249175,0.21149747551130832,0.4514974755113083,0,0.21149747551130832,0.4514974755113083
5,0,-19.43648545455028,0.06823342543096425,0.2660077863796409,2814,1,2.989226992212129,18925,-0.03836666734542121,0.4656333326545788,0,-0.03836666734542121,0.4656333326545788,0.05481959861896238,0.29481959861896234,0,0.43855678895169903,2.3585567889516987,0.0,1.0,1,0.0,1.0,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,10.799999999999999,0,0.0,10.799999999999999,321.2,365.0,0,321.2,365.0,-36.0,43.199999999999996,0,-36.0,43.199999999999996,210.0,80599974.8,0,210.0,80599974.8,0.4642857142857144,10.064285714285713,0,0.4642857142857144,10.064285714285713,-20.0,24.04,0,-20.0,24.04,-30.0,36.00204317249175,0,-30.0,36.00204317249175,0.0,1.0,1,0.0,1.0
6,4,-10.560170954604658,8.132196936118858,0.8291641016760821,38,1,1.3262337631515995,79,0.14062361525315115,0.6446236152531511,0,0.14062361525315115,0.6446236152531511,0.24268863295637383,0.4826886329563738,0,1.9415090636509906,3.8615090636509906,0.0,1.0,1,0.0,1.0,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,10.799999999999999,0,0.0,10.799999999999999,321.2,365.0,0,321.2,365.0,-36.0,43.199999999999996,0,-36.0,43.199999999999996,0.0,210.0,1,0.0,210.0,6.378571428571429,15.978571428571428,0,6.378571428571429,15.978571428571428,0.0,200.0,1,0.0,200.0,-30.0,36.000128153630044,0,-30.0,36.000128153630044,0.21094670486553319,0.4509467048655332,0,0.21094670486553319,0.4509467048655332
7,7,-6.712698958565031,4.261499373691254,0.7246621894887395,6,1,1.64,83,0.5349283999096638,1.038928399909664,0,0.5349283999096638,1.038928399909664,0.0,1.0,1,0.0,8.0,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,59.2,80.8,0,59.2,80.8,0.0,43.8,0,0.0,43.8,166.8,253.2,0,166.8,253.2,210.0,126899974.8,0,210.0,126899974.8,11.150000000000002,20.75,0,11.150000000000002,20.75,0.0,200.0,1,0.0,200.0,-30.0,36.00858045169469,0,-30.0,36.00858045169469,0.18933699749138155,0.42933699749138154,0,0.18933699749138155,0.42933699749138154
8,3,-14.54302747708132,5.981094727021851,0.9999869694513196,22,1,1.0,126,0.07755519330084348,0.5815551933008435,0,0.07755519330084348,0.5815551933008435,0.0,1.0,1,0.0,8.0,0.8799999999999999,1.1,0,0.8799999999999999,1.1,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,29.200000000000003,50.8,0,29.200000000000003,50.8,0.0,43.8,0,0.0,43.8,46.800000000000004,133.2,0,46.800000000000004,133.2,210.0,77499974.8,0,210.0,77499974.8,2.1499999999999986,11.749999999999998,0,2.1499999999999986,11.749999999999998,-19.22,28.78,0,-19.22,28.78,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
9,2,-6.880781807903481,2.9536432712682057,0.10580517670739492,54,1,2.8187323392333727,126,0.07755519330084348,0.5815551933008435,0,0.07755519330084348,0.5815551933008435,0.0,1.0,1,0.0,8.0,0.8799999999999999,1.1,0,0.8799999999999999,1.1,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,0.0,43.8,0,0.0,43.8,46.800000000000004,133.2,0,46.800000000000004,133.2,210.0,77499974.8,0,210.0,77499974.8,2.1499999999999986,11.749999999999998,0,2.1499999999999986,11.749999999999998,-19.22,28.78,0,-19.22,28.78,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
