episode,steps,total_reward,eps,yield_kg_ha,n_applied_kg_ha,n_uptake_kg_ha,nue_re,nue_ie,nue_eunep,nue_fert,nsurp,nsurp_fert,n_apps
1,48,157.73260067043756,0.4464,8806.434781220762,110.0,254.57704569998413,2.2429039137627718,0.7039556426007725,1.5789048659108615,1.62919043451103,-65.70762554867217,-69.2109477978425,4
2,48,154.0509037037935,0.4428288,8615.054973512055,120.0,264.9843567754349,2.1455659883893436,0.6616102582194439,1.419528467610487,1.4609697392459113,-51.81312611333267,-55.31636871097032,4
3,48,145.10270346906654,0.4392861696,8122.5025303609045,120.0,275.27251462254094,2.22887119103848,0.6004701439912984,1.3383706050257946,1.377441054095558,-41.78982064846559,-45.2929264928444,4
4,48,147.05304976715158,0.4357718802432,8229.85907233729,120.0,262.34891990424154,2.1242351387587957,0.6383774409384096,1.3560637918374563,1.395646934338902,-43.97486394197932,-47.47763212206388,4
5,48,168.6517893723318,0.4322857052012544,9418.758703821863,120.0,275.89877246928563,2.23395144764576,0.694717623810443,1.5519654414219866,1.597264496843147,-68.16915734516702,-71.67173962277491,4
6,48,147.6291911777808,0.4288274195596444,8239.015312257434,100.0,244.61453987784222,2.3633596214449657,0.6854210779436205,1.6198964993058578,1.6766396160276213,-64.16107628141684,-67.66396160443878,4
7,48,161.02865680519557,0.4253968002031672,8987.865734859666,110.0,266.2899962405179,2.346103941139871,0.686856698659104,1.6114372077284964,1.6627551609339222,-69.39999924750695,-72.9030677043942,4
8,48,158.83167942908588,0.42199362580154187,8844.376035068304,90.0,241.77194904159853,2.5857292587966585,0.7444331446487543,1.9249025633442505,1.9998116923515576,-86.48063004088893,-89.98305231364,4
9,48,152.87975183201237,0.4186176767951295,8528.031696593403,100.0,255.46084928092753,2.468147049734293,0.679342629265866,1.676717506187848,1.735454450239403,-70.0423537872664,-73.54544502567575,4
10,48,161.06072732350148,0.4152687353807685,9012.188436368222,130.0,268.15442493119787,2.0085993465726424,0.6839269377205506,1.373735200214049,1.410754112912943,-49.89484232530518,-53.39803468009333,4
11,48,141.29052243160228,0.41194658549772234,8014.1697821105445,210.0,285.86533861228133,1.3389355692145073,0.5705076238241514,0.7638729500488782,0.7766112145960617,50.41358272979264,46.91164493405043,4
12,48,139.44656510903658,0.40865101281374056,7788.6037930883795,100.0,249.29979144828536,2.4086206072693703,0.6357730436432857,1.5313360544717292,1.5849808718776355,-54.99494904734554,-58.498087189348524,4
13,48,154.34361005799704,0.40538180471123064,8642.445646391645,130.0,275.49961784197546,2.063617534514867,0.6383811719271113,1.3173745800977186,1.3528751454055163,-42.37053333252368,-45.873768904069976,3
14,48,145.11419988078296,0.4021387502735408,8134.414040886384,130.0,278.7468811695569,2.0879555660716096,0.5938553466029698,1.239943576385504,1.2733486594674197,-32.03302055994166,-35.535325732037904,4
15,48,154.61393164658094,0.39892164027135246,8657.325460812513,130.0,269.49045234444327,2.018612943641216,0.6537395725682509,1.319647162961644,1.355204408662919,-42.67378687455829,-46.17657312753465,4
16,48,150.2573108759795,0.39573026714918164,8383.679797213601,100.0,250.66253802408832,2.421786632977264,0.6806277683832475,1.64833523151027,1.706078838715907,-67.1047368130166,-70.60788387329677,4
17,48,155.44824028769148,0.3925644250119882,8691.971172328478,120.0,267.46564240603146,2.1656652834814123,0.6613246163696219,1.4322077627887082,1.474013444628421,-53.37885212967322,-56.88161335688454,4
18,48,156.10215418945174,0.38942390961189227,8739.244464658543,130.0,258.7096364700806,1.9378496460458088,0.6874255914146487,1.3321274390108566,1.368027883495641,-44.34016291486026,-47.84362485580135,4
19,48,144.2632054735801,0.38630851833499713,8053.73509514945,100.0,248.5575194330433,2.4014646417535936,0.6593786000096519,1.5834743934585356,1.6389350918465238,-60.39104027251187,-63.89350918629131,4
20,48,117.84437454130745,0.38321805018831717,6498.005974641243,10.0,170.944198263808,12.659651003203127,0.7735531414707987,9.792912803509015,13.223442157072585,-118.7313480625784,-122.23442158394928,1
21,48,144.49518281828918,0.38015230578681064,8066.504255974524,100.0,241.19947686730728,2.3303528693373265,0.6805709686456236,1.585970509577588,1.6415336160744003,-60.64994801079425,-64.15336160908157,4
22,48,165.39679013081664,0.3771110873405161,9250.86641332177,130.0,273.7600214757697,2.050603391063584,0.6876648039972217,1.4101277789969286,1.4481163962280763,-54.75295226632056,-58.25513151109803,4
23,48,166.78631739672124,0.374094198641792,9304.795365042177,110.0,267.5285082930404,2.357016645995998,0.7077847025951007,1.6682603258042148,1.7213871425171539,-75.84956534773805,-79.3525856786083,4
