episode,steps,total_reward,eps,yield_kg_ha,n_applied_kg_ha,n_uptake_kg_ha,nue_re,nue_ie,nue_eunep,nue_fert,nsurp,nsurp_fert,n_apps
1,48,157.9235071575961,0.4464,8884.615355182259,170.0,302.3811922431514,1.7428078777483138,0.5979271433389092,1.0420721357340423,1.0635407204523262,-7.299612727052079,-10.801922477958982,4
2,48,143.5272510842303,0.4428288,8103.454124744334,180.0,314.46622521904703,1.713682569486429,0.524397465334012,0.898650795828618,0.9161405079868393,18.597902686590714,15.09470856145279,4
3,48,161.33066708209745,0.4392861696,9173.670230753423,260.0,392.3022376757059,1.4887972947157575,0.47586827518857433,0.708471400743609,0.7180161122889006,76.81859863608406,73.31581080416782,4
4,48,151.6509523950173,0.4357718802432,8629.572983707672,250.0,366.2003111754193,1.4445543656425828,0.4795512315494703,0.6927378250859562,0.7024472408709947,77.89219065802502,74.38818978154887,4
5,48,145.458495230398,0.4322857052012544,8175.9231150106225,150.0,292.0894312762955,1.9028293240267449,0.5696201833215699,1.0838899883854842,1.1092002359290465,-12.877339386036027,-16.380035390466162,4
6,48,152.62302194173355,0.4288274195596444,8615.408264530937,190.0,333.96982792693507,1.7259138360970905,0.5249682561774304,0.906049976851102,0.9227555693804307,18.17962890545948,14.676441816795432,4
7,48,158.2954871867343,0.4253968002031672,8927.648328658242,190.0,328.0251346350651,1.6952001862496542,0.5538528128027799,0.9388913914210295,0.9561981236170476,11.82465629568486,8.32235651180477,4
8,48,135.0595431459308,0.42199362580154187,7592.235544995365,140.0,278.74962823440853,1.9424516879253841,0.554267979902654,1.0766387731287654,1.1035856667110864,-10.997972126011291,-14.501993340655673,4
9,48,156.44550255583155,0.4186176767951295,8825.816180758053,190.0,325.79493796638064,1.6836687555391894,0.5512834557804237,0.9281787299460186,0.9452913646183215,13.897630482978485,10.394640721573637,4
10,48,166.59931332655006,0.4152687353807685,9362.173904692578,170.0,306.68595140793656,1.7676080443074114,0.6212225831839729,1.098078035345001,1.1207072879963134,-17.01686959427488,-20.52023896049397,4
11,48,151.76123108647047,0.41194658549772234,8567.971106207435,190.0,323.60038795244355,1.6723315166508441,0.5388071785513626,0.9010642260919469,0.9176748000547559,19.14432305950092,15.641787988678715,4
12,48,168.7725007276161,0.40865101281374056,9447.960627930646,140.0,284.66614242364113,1.9837068552925539,0.6754087336862925,1.3398129351426677,1.3733285626929668,-48.76387715080807,-52.26599877838865,4
13,48,143.1624626605068,0.40538180471123064,8038.259627924633,140.0,275.4082425015704,1.9191807139989114,0.5939494836533065,1.1398963941211764,1.1684184530506991,-20.07555607353879,-23.578583428266285,4
14,48,163.39427788544626,0.4021387502735408,9151.917096132893,140.0,282.4705288318488,1.9684018053026744,0.659330775765681,1.297827889313374,1.330296520749815,-42.73903893532267,-46.241512906304365,4
15,48,150.3256100684385,0.39892164027135246,8455.111469611851,160.0,305.18396129405346,1.8665335590386416,0.563796071315331,1.0523442875676567,1.0753844900345364,-8.558451550748885,-12.06151840660118,4
16,48,147.67394965329748,0.39573026714918164,8320.42988128461,170.0,315.49497662881345,1.8183818786528576,0.536682865422655,0.9758943970711392,0.9960044004890931,4.182397944088791,0.679251915858174,4
17,48,153.26146091452875,0.3925644250119882,8650.551049404345,190.0,316.2577650012191,1.6343809774119515,0.5566304873309377,0.9097462799441055,0.9265195466023783,17.464373472754914,13.961286144621596,4
18,48,155.55952953988125,0.38942390961189227,8743.211842344981,160.0,303.4757354193057,1.8560919450976539,0.5862885899108208,1.088205529239722,1.1120272561913023,-14.421827499780136,-17.924360991720363,4
19,48,153.08338977437845,0.38630851833499713,8629.470456012465,180.0,321.19354356676433,1.7503446839247723,0.5467411387825861,0.9569854457540552,0.9756095765493226,7.89330080431364,4.390276220146347,4
20,48,150.37749755056177,0.38321805018831717,8412.852840345779,120.0,277.3543481491863,2.245720955321669,0.6172665272524649,1.386208375274492,1.4266796274967493,-47.69807750265029,-51.20155530103659,4
21,48,147.41727578426702,0.38015230578681064,8317.579995831287,180.0,324.4923685663872,1.7683197917927183,0.5216232161713102,0.922396657017142,0.9403486273012575,14.240463002384814,10.737247084833314,4
22,48,146.3633884389105,0.3771110873405161,8259.568912804012,180.0,315.91574471363367,1.7215795840414292,0.5320476430428946,0.9159623600029088,0.9337901520812659,15.421194505346136,11.917772624438356,4
23,48,163.4531693697881,0.374094198641792,9188.99484613795,170.0,311.99794819824336,1.798225184288581,0.5993502399557151,1.0777666957012255,1.099976735987102,-13.492775938591222,-16.99604511890729,4
24,48,142.6372644397402,0.3711014450526577,8043.186240972104,170.0,309.9226825435268,1.7862633448130318,0.5281279790815778,0.94337565040665,0.9628167058989383,9.824514606105936,6.321159996217688,4
25,48,154.43070346596008,0.3681326334922364,8681.075767378217,160.0,301.7073448447146,1.8452703845702307,0.5855339450104738,1.0804684478919826,1.1041243241565164,-13.156837047902314,-16.659891866146722,4
26,48,171.8811673504417,0.3651875724242985,9664.19152036339,180.0,324.47169570443134,1.7682156422961532,0.6061123359676238,1.0717373134499169,1.0925905413239023,-13.163964386106528,-16.66629743939501,4
27,48,154.21667449608088,0.3622660718449041,8748.245417299548,230.0,374.3155808429766,1.6030463484257056,0.4756061552143924,0.762418710407258,0.7740295401794425,55.4758622525562,51.97320575795422,4
28,48,160.78795199921214,0.3593679432701449,9031.009632807407,160.0,288.3331242602925,1.7634680075716238,0.6373913732543791,1.1240192950401393,1.1486315376655132,-20.277584087554516,-23.781046027630737,4
29,48,167.7477691906214,0.35649299972398374,9425.39049874065,170.0,320.540754749082,1.847470007660858,0.598384741431458,1.105497862839965,1.1282746861661408,-18.304148073180897,-21.806696649372213,4
30,48,159.66320794270368,0.35364105572619187,8991.655636192198,180.0,329.6857288983379,1.7966291682388509,0.555013991073845,0.9971543251469518,1.0165566233083037,0.522188108110214,-2.9801921965112115,4
31,48,142.53824259835653,0.35081192728038235,8037.735597421507,170.0,312.5170511718,1.8012233334294923,0.5233887840477737,0.9427400902851562,0.9621642318033264,9.934747013616658,6.432080592472346,4
32,48,144.9648560752281,0.3480054318621393,8160.029508186718,160.0,298.91992742252955,1.8282235347228846,0.5555220152864541,1.015618422406779,1.0378537530660117,-2.553658021268518,-6.05660049159971,4
33,48,164.93548407654083,0.34522138840724215,9270.588653962724,170.0,306.2633967311809,1.7651813221353774,0.6159942099548921,1.087341473959464,1.1097439947472454,-15.153965293344015,-18.65647910814144,4
