rule_id,action,lower,upper,mask,lower_raw,upper_raw,p,eps,F,exp,num,as_size,ts_ga
2319508440176,4,"[1.332511380218323, 0.33162448431999475, 0.8346911070741292, 0.0849861191185797, -50.0, 0.0, 12.757586764234107, 123.15530207432923, 210.0, 10.031788751374517, -10.537992655344723, -24.270864149666487, 0.0]","[1.8400174095452915, 0.5716244843199947, 1.0179170469202048, 0.3615235522135543, 150.0, 90.0, 67.01135976803147, 197.8467406788696, 231.0, 20.337151334494866, 21.73389104521545, 46.8169186514461, 1.0]","[False, True, False, False, True, True, False, False, True, False, False, False, True]","[1.332511380218323, 2.652995874559958, 0.8346911070741292, 1274.7917867786955, -50.0, 0.0, 12.757586764234107, 123.15530207432923, 210.0, 10.031788751374517, -10.537992655344723, -24.270864149666487, 0.0]","[1.8400174095452915, 4.5729958745599575, 1.0179170469202048, 5422.853283203314, 150.0, 90.0, 67.01135976803147, 197.8467406788696, 231.0, 20.337151334494866, 21.73389104521545, 46.8169186514461, 1.0]",-9.781372201701815,26.206318006117844,0.7939135056895401,20,1,1.8522292527766908,11369
2319508440352,0,"[0.3044096515628865, 0.0, 0.0, -0.1, -50.0, 2.016107237931981, 6.537647586702423, 130.70697138240578, 231.0, 8.206493234612465, -20.0, -30.0, 0.14385392682720038]","[0.8172829893320908, 1.0, 1.0, 0.11843438523286227, 150.0, 9.50672048287045, 48.23638636309187, 206.49657228901015, 231.0, 18.245897366483707, 15.98356096975261, 45.00767477999783, 0.4506466705963304]","[False, True, True, False, True, False, False, False, False, False, False, False, False]","[0.3044096515628865, 0.0, 0.0, -1500.0, -50.0, 2.016107237931981, 6.537647586702423, 130.70697138240578, 231.0, 8.206493234612465, -20.0, -30.0, 0.14385392682720038]","[0.8172829893320908, 8.0, 1.0, 1776.515778492934, 150.0, 9.50672048287045, 48.23638636309187, 206.49657228901015, 231.0, 18.245897366483707, 15.98356096975261, 45.00767477999783, 0.4506466705963304]",2.035576233078454,1.424308807696138,0.8284772176851383,0,1,2.7987738846014834,11411
2319508440528,0,"[0.3812127230169052, -0.005072220156924823, 0.0, -0.1, -50.0, 0.7759769626474018, 0.0, 140.12001312361033, 231.0, 7.104138633825132, -16.653872686015802, -21.431376432738755, 0.21689022373909625]","[0.8161309765912174, 1.1, 1.0, 0.08763101636170234, 150.0, 9.296009992955105, 47.7138594104641, 227.7151847773586, 231.0, 19.737487791085034, 29.081284160264275, 47.82306807058383, 0.4442674997021646]","[False, False, True, False, True, False, False, False, False, False, False, False, False]","[0.3812127230169052, -0.04057776125539858, 0.0, -1500.0, -50.0, 0.7759769626474018, 0.0, 140.12001312361033, 231.0, 7.104138633825132, -16.653872686015802, -21.431376432738755, 0.21689022373909625]","[0.8161309765912174, 8.8, 1.0, 1314.4652454255352, 150.0, 9.296009992955105, 47.7138594104641, 227.7151847773586, 231.0, 19.737487791085034, 29.081284160264275, 47.82306807058383, 0.4442674997021646]",2.035576233078454,1.424308807696138,0.8284772176851383,0,1,2.7987738846014834,11411
2319508440704,2,"[0.057435556083279216, 0.1715663167423762, 0.88, -0.1, -50.0, 0.0, 321.2, -36.0, 210.0, 3.264285714285715, -20.0, -30.0, 0.1921366859954678]","[0.5614355560832792, 0.4115663167423762, 1.1, 0.12, 150.0, 10.799999999999999, 365.0, 43.199999999999996, 137699974.8, 12.864285714285714, 24.0, 36.000080986925454, 0.4321366859954678]","[False, False, False, False, True, False, False, False, False, False, False, False, False]","[0.057435556083279216, 1.3725305339390097, 0.88, -1500.0, -50.0, 0.0, 321.2, -36.0, 210.0, 3.264285714285715, -20.0, -30.0, 0.1921366859954678]","[0.5614355560832792, 3.2925305339390096, 1.1, 1800.0, 150.0, 10.799999999999999, 365.0, 43.199999999999996, 137699974.8, 12.864285714285714, 24.0, 36.000080986925454, 0.4321366859954678]",-8.211215522881357,12.141019730784347,0.9999999999999999,180,1,1.0,23020
2319508440880,0,"[0.08200182178748493, 0.0, -0.1, -0.0576627657001502, -70.0, 0.0, 3.1044140099503057, 45.242227330303834, 0.0, -10.0, -11.149862913990983, -20.941633332270964, 0.12852286438012625]","[0.9098422553004784, 1.0, 0.8858274823555397, 0.14137548231824046, -29.478046738812374, 89.83069298887384, 43.590715510069124, 147.0822458888693, 210.0, 30.0, 36.555911813880385, 9.524452434045957, 0.9154911565751819]","[False, True, False, False, True, False, False, False, True, True, False, False, False]","[0.08200182178748493, 0.0, -0.1, -864.941485502253, -70.0, 0.0, 3.1044140099503057, 45.242227330303834, 0.0, -10.0, -11.149862913990983, -20.941633332270964, 0.12852286438012625]","[0.9098422553004784, 8.0, 0.8858274823555397, 2120.632234773607, -29.478046738812374, 89.83069298887384, 43.590715510069124, 147.0822458888693, 210.0, 30.0, 36.555911813880385, 9.524452434045957, 0.9154911565751819]",1.0612214543477005,1.1277437082497306,0.9736123245947067,0,1,2.035596577976185,11504
2319508441056,5,"[0.44008010473196874, 0.34424323249899036, 0.0, 0.0, -50.0, 0.0, 0.0, 67.09104423899404, -21.0, 6.576168573860036, -15.566719350739833, -30.0, 0.21056166426293732]","[0.8128748071253524, 0.6432033191431642, 1.0, 1.0, 150.0, 10.595038254167928, 52.27229426058498, 148.8415208723984, 231.0, 15.076861089477942, 32.299442497629855, 39.05631233120231, 0.38558570642596635]","[False, False, True, True, True, False, False, False, False, False, False, False, False]","[0.44008010473196874, 2.753945859991923, 0.0, 0.0, -50.0, 0.0, 0.0, 67.09104423899404, -21.0, 6.576168573860036, -15.566719350739833, -30.0, 0.21056166426293732]","[0.8128748071253524, 5.145626553145314, 1.0, 15000.0, 150.0, 10.595038254167928, 52.27229426058498, 148.8415208723984, 231.0, 15.076861089477942, 32.299442497629855, 39.05631233120231, 0.38558570642596635]",-2.1920316734850687,7.2584142490313015,0.47762131636565786,0,1,2.0078672343324246,11556
2319508441232,5,"[-0.1, 0.0, 0.0, -0.1, -50.0, 0.4972724883901578, 324.69882188472155, -6.379967283004538, 0.0, -10.0, -12.42464769123928, 0.0, -0.005487441712376563]","[0.49595223248481196, 1.0, 1.0, 0.10696870887207467, 150.0, 12.815253499003617, 365.0, 20.332322366649127, 210.0, 30.0, 32.23865196338174, 300.0, 0.37510044232828527]","[False, True, True, False, True, False, False, False, True, True, False, True, False]","[-0.1, 0.0, 0.0, -1500.0, -50.0, 0.4972724883901578, 324.69882188472155, -6.379967283004538, 0.0, -10.0, -12.42464769123928, 0.0, -0.005487441712376563]","[0.49595223248481196, 8.0, 1.0, 1604.5306330811202, 150.0, 12.815253499003617, 365.0, 20.332322366649127, 210.0, 30.0, 32.23865196338174, 300.0, 0.37510044232828527]",-3.098769607220303,1.1649667449634948,0.4672949460101975,0,1,3.3005007670869415,11621
2319508441408,5,"[-0.1, 0.0, 0.0, -0.1, -50.0, 2.335640460660781, 321.6163794949507, -8.19933240609608, 0.0, -10.0, -16.37452222753537, 0.0, 0.0016540454040001526]","[0.32060591288452744, 1.0, 1.0, 0.13396733288859553, 150.0, 10.52889080433453, 365.0, 22.548628502771983, 210.0, 30.0, 30.657812881060877, 300.0, 0.42532085510597273]","[False, True, True, False, True, False, False, False, True, True, False, True, False]","[-0.1, 0.0, 0.0, -1500.0, -50.0, 2.335640460660781, 321.6163794949507, -8.19933240609608, 0.0, -10.0, -16.37452222753537, 0.0, 0.0016540454040001526]","[0.32060591288452744, 8.0, 1.0, 2009.509993328933, 150.0, 10.52889080433453, 365.0, 22.548628502771983, 210.0, 30.0, 30.657812881060877, 300.0, 0.42532085510597273]",-3.098769607220303,1.1649667449634948,0.4672949460101975,0,1,3.3005007670869415,11621
2319508441584,3,"[1.0805581395348836, 0.39853562981430246, 0.88, 0.0, -50.0, 0.0, 5.200000000000003, 56.800000000000004, 210.0, 10.55, -20.0, -30.0, 0.0]","[1.5845581395348836, 0.6385356298143025, 1.1, 1.0, 150.0, 10.799999999999999, 92.8, 143.2, 125399974.8, 20.15, 25.91, 36.000167411530356, 1.0]","[False, False, False, True, True, False, False, False, False, False, False, False, True]","[1.0805581395348836, 3.1882850385144197, 0.88, 0.0, -50.0, 0.0, 5.200000000000003, 56.800000000000004, 210.0, 10.55, -20.0, -30.0, 0.0]","[1.5845581395348836, 5.10828503851442, 1.1, 15000.0, 150.0, 10.799999999999999, 92.8, 143.2, 125399974.8, 20.15, 25.91, 36.000167411530356, 1.0]",-3.6510203680370488,25.128201190982594,0.404862676781529,30,1,2.9401212302854227,19335
2319508441760,1,"[-0.1, 0.0, 0.0, -0.1, -50.0, 0.0, 313.0047896624521, -36.0, -21.0, -10.0, -15.137902393035633, -17.836964328603518, 0.0]","[0.45600988772905715, 1.0, 1.0, 0.12, 150.0, 9.077004216065959, 360.11045250835014, 43.32739835352092, 231.0, 30.0, 26.384339592487457, 34.72278915205068, 1.0]","[False, True, True, True, True, False, False, False, False, True, False, False, True]","[-0.1, 0.0, 0.0, -1500.0, -50.0, 0.0, 313.0047896624521, -36.0, -21.0, -10.0, -15.137902393035633, -17.836964328603518, 0.0]","[0.45600988772905715, 8.0, 1.0, 1800.0, 150.0, 9.077004216065959, 360.11045250835014, 43.32739835352092, 231.0, 30.0, 26.384339592487457, 34.72278915205068, 1.0]",-1.035076222862624,7.0941863028152135,0.49999999998408334,0,1,2.00000023583613,11857
