classifier_index,action,p,eps,F,exp,num,as_size,ts_ga,DVS_lo,DVS_hi,DVS_mask,DVS_lo_raw,DVS_hi_raw,LAI_lo,LAI_hi,LAI_mask,LAI_lo_raw,LAI_hi_raw,RFTRA_lo,RFTRA_hi,RFTRA_mask,RFTRA_lo_raw,RFTRA_hi_raw,WSO_lo,WSO_hi,WSO_mask,WSO_lo_raw,WSO_hi_raw,Nsurp_sofar_lo,Nsurp_sofar_hi,Nsurp_sofar_mask,Nsurp_sofar_lo_raw,Nsurp_sofar_hi_raw,last_dose_kg_ha_lo,last_dose_kg_ha_hi,last_dose_kg_ha_mask,last_dose_kg_ha_lo_raw,last_dose_kg_ha_hi_raw,last_app_gap_days_lo,last_app_gap_days_hi,last_app_gap_days_mask,last_app_gap_days_lo_raw,last_app_gap_days_hi_raw,cum_N_applied_kg_ha_lo,cum_N_applied_kg_ha_hi,cum_N_applied_kg_ha_mask,cum_N_applied_kg_ha_lo_raw,cum_N_applied_kg_ha_hi_raw,IRRAD_7_lo,IRRAD_7_hi,IRRAD_7_mask,IRRAD_7_lo_raw,IRRAD_7_hi_raw,TMEAN_7_lo,TMEAN_7_hi,TMEAN_7_mask,TMEAN_7_lo_raw,TMEAN_7_hi_raw,RAIN_7_lo,RAIN_7_hi,RAIN_7_mask,RAIN_7_lo_raw,RAIN_7_hi_raw,Ndep_sum_lo,Ndep_sum_hi,Ndep_sum_mask,Ndep_sum_lo_raw,Ndep_sum_hi_raw,SM_mean_lo,SM_mean_hi,SM_mean_mask,SM_mean_lo_raw,SM_mean_hi_raw
10,0,-10.745143634280346,8.398127567875521,0.4860806728945046,16,1,2.3808599040000002,37,0.7264644913853445,1.2304644913853444,0,0.7264644913853445,1.2304644913853444,0.36351097801085164,0.6035109780108516,0,2.908087824086813,4.828087824086813,0.88,1.1,0,0.88,1.1,0.0,1.0,1,0.0,15000.0,-70.0,-28.931592663482718,0,-70.0,-28.931592663482718,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,50.8,0,0.0,50.8,96.80000000000001,183.2,0,96.80000000000001,183.2,0.0,210.0,1,0.0,210.0,-10.0,30.0,1,-10.0,30.0,-20.0,24.51,0,-20.0,24.51,-30.0,36.0075194608293,0,-30.0,36.0075194608293,0.14526806967812522,0.3852680696781252,0,0.14526806967812522,0.3852680696781252
11,4,0.0,0.0,0.01,0,1,1.0,39,0.9328255813953488,1.4368255813953488,0,0.9328255813953488,1.4368255813953488,0.35030864948588,0.59030864948588,0,2.80246919588704,4.72246919588704,0.0,1.0,1,0.0,1.0,0.015380913231996779,0.25538091323199674,0,230.7136984799517,3830.7136984799513,-50.0,-50.0,0,-50.0,-50.0,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,64.8,0,0.0,64.8,96.80000000000001,183.2,0,96.80000000000001,183.2,210.0,113699974.8,0,210.0,113699974.8,9.157142857142858,18.757142857142856,0,9.157142857142858,18.757142857142856,0.0,200.0,1,0.0,200.0,-30.0,36.004148274172486,0,-30.0,36.004148274172486,0.14906110245621967,0.38906110245621967,0,0.14906110245621967,0.38906110245621967
12,0,0.0,0.0,0.01,0,1,1.0,39,0.9328255813953488,1.4368255813953488,0,0.9328255813953488,1.4368255813953488,0.35030864948588,0.59030864948588,0,2.80246919588704,4.72246919588704,0.88,1.1,0,0.88,1.1,0.015380913231996779,0.25538091323199674,0,230.7136984799517,3830.7136984799513,-50.0,-50.0,0,-50.0,-50.0,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,64.8,0,0.0,64.8,96.80000000000001,183.2,0,96.80000000000001,183.2,0.0,210.0,1,0.0,210.0,9.157142857142858,18.757142857142856,0,9.157142857142858,18.757142857142856,0.0,200.0,1,0.0,200.0,-30.0,36.004148274172486,0,-30.0,36.004148274172486,0.0,1.0,1,0.0,1.0
13,5,0.0,0.0,0.01,0,1,1.0,40,1.0618953488372092,1.5658953488372092,0,1.0618953488372092,1.5658953488372092,0.34418897401333676,0.5841889740133368,0,2.753511792106694,4.673511792106694,0.8800000000000002,1.1,0,0.8800000000000002,1.1,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,0.0,71.8,0,0.0,71.8,96.80000000000001,183.2,0,96.80000000000001,183.2,210.0,77099974.8,0,210.0,77099974.8,9.864285714285714,19.464285714285715,0,9.864285714285714,19.464285714285715,-20.0,24.09,0,-20.0,24.09,-30.0,36.00235898308352,0,-30.0,36.00235898308352,0.14212366608708665,0.38212366608708664,0,0.14212366608708665,0.38212366608708664
14,0,0.0,0.0,0.01,0,1,1.0,40,1.0618953488372092,1.5658953488372092,0,1.0618953488372092,1.5658953488372092,0.34418897401333676,0.5841889740133368,0,2.753511792106694,4.673511792106694,0.0,1.0,1,0.0,1.0,0.0,1.0,1,0.0,15000.0,-50.0,-50.0,0,-50.0,-50.0,0.0,90.0,1,0.0,90.0,0.0,71.8,0,0.0,71.8,96.80000000000001,183.2,0,96.80000000000001,183.2,0.0,210.0,1,0.0,210.0,9.864285714285714,19.464285714285715,0,9.864285714285714,19.464285714285715,-20.0,24.09,0,-20.0,24.09,-30.0,36.00235898308352,0,-30.0,36.00235898308352,0.14212366608708665,0.38212366608708664,0,0.14212366608708665,0.38212366608708664
15,2,-8.53572720603222,3.990979214203499,0.871696,4,1,1.0,83,0.5538590708178096,1.0578590708178095,0,0.5538590708178096,1.0578590708178095,0.39466442218804865,0.6346644221880486,0,3.157315377504389,5.077315377504389,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-45.83445276090608,2.165547239093918,0,-45.83445276090608,2.165547239093918,9.200000000000001,30.799999999999997,0,9.200000000000001,30.799999999999997,0.0,43.8,0,0.0,43.8,116.80000000000001,203.2,0,116.80000000000001,203.2,210.0,132899974.8,0,210.0,132899974.8,5.064285714285716,14.664285714285715,0,5.064285714285716,14.664285714285715,0.0,200.0,1,0.0,200.0,-30.0,36.00879822650489,0,-30.0,36.00879822650489,0.16726667916980892,0.4072666791698089,0,0.16726667916980892,0.4072666791698089
16,7,-6.4404786251528385,2.408826894419433,0.9997207101191619,16,1,1.0,83,0.5538590708178096,1.0578590708178095,0,0.5538590708178096,1.0578590708178095,0.0,1.0,1,0.0,8.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1,0.0,15000.0,-45.83445276090608,2.165547239093918,0,-45.83445276090608,2.165547239093918,0.0,90.0,1,0.0,90.0,0.0,43.8,0,0.0,43.8,116.80000000000001,203.2,0,116.80000000000001,203.2,210.0,132899974.8,0,210.0,132899974.8,5.064285714285716,14.664285714285715,0,5.064285714285716,14.664285714285715,0.0,200.0,1,0.0,200.0,-30.0,36.00879822650489,0,-30.0,36.00879822650489,0.16726667916980892,0.4072666791698089,0,0.16726667916980892,0.4072666791698089
17,0,0.0,0.0,0.01,0,1,1.0,86,0.899802325581395,1.403802325581395,0,0.899802325581395,1.403802325581395,0.0,1.0,1,0.0,8.0,0.88,1.1,0,0.88,1.1,0.0006089081056237788,0.24060890810562377,0,9.133621584356682,3609.1336215843567,-50.0,-50.0,0,-50.0,-50.0,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,64.8,0,0.0,64.8,116.80000000000001,203.2,0,116.80000000000001,203.2,210.0,144899974.8,0,210.0,144899974.8,9.414285714285715,19.014285714285712,0,9.414285714285715,19.014285714285712,-20.0,24.0,0,-20.0,24.0,0.0,300.0,1,0.0,300.0,0.12049816141173783,0.36049816141173785,0,0.12049816141173783,0.36049816141173785
18,0,-5.319589121228238,1.924809186727159,0.25487750480111426,26,1,2.6316449235985995,86,0.899802325581395,1.403802325581395,0,0.899802325581395,1.403802325581395,0.36788506873929294,0.6078850687392929,0,2.9430805499143435,4.8630805499143435,0.88,1.1,0,0.88,1.1,0.0006089081056237788,0.24060890810562377,0,9.133621584356682,3609.1336215843567,-50.0,150.0,1,-50.0,150.0,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,64.8,0,0.0,64.8,116.80000000000001,203.2,0,116.80000000000001,203.2,210.0,144899974.8,0,210.0,144899974.8,-10.0,30.0,1,-10.0,30.0,-20.0,24.0,0,-20.0,24.0,0.0,300.0,1,0.0,300.0,0.12049816141173783,0.36049816141173785,0,0.12049816141173783,0.36049816141173785
19,4,-7.684851819759876,3.659314997616432,0.9999270750455111,46,1,1.0077405919352758,131,0.5236743023281709,1.027674302328171,0,0.5236743023281709,1.027674302328171,0.3661694026510944,0.6061694026510944,0,2.929355221208755,4.849355221208755,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,0.0,43.8,0,0.0,43.8,146.8,233.2,0,146.8,233.2,210.0,160799974.8,0,210.0,160799974.8,9.87857142857143,19.478571428571428,0,9.87857142857143,19.478571428571428,0.0,200.0,1,0.0,200.0,-30.0,36.00806871730414,0,-30.0,36.00806871730414,0.15510975196801047,0.39510975196801046,0,0.15510975196801047,0.39510975196801046
20,0,-7.585633997416404,3.2108864636283463,0.95381056,6,1,1.0,131,0.5236743023281709,1.027674302328171,0,0.5236743023281709,1.027674302328171,0.0,1.0,1,0.0,8.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,59.2,80.8,0,59.2,80.8,0.0,43.8,0,0.0,43.8,146.8,233.2,0,146.8,233.2,210.0,160799974.8,0,210.0,160799974.8,9.87857142857143,19.478571428571428,0,9.87857142857143,19.478571428571428,-20.0,24.0,0,-20.0,24.0,-30.0,36.00806871730414,0,-30.0,36.00806871730414,0.0,1.0,1,0.0,1.0
21,5,0.0,0.0,0.01,0,1,1.0,134,0.8495697674418605,1.3535697674418605,0,0.8495697674418605,1.3535697674418605,0.0,1.0,1,0.0,8.0,0.88,1.1,0,0.88,1.1,0.0,1.0,1,0.0,15000.0,-10.903395573365351,37.09660442663465,0,-10.903395573365351,37.09660442663465,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,50.8,0,0.0,50.8,186.8,273.2,0,186.8,273.2,210.0,69599974.8,0,210.0,69599974.8,8.321428571428577,17.921428571428574,0,8.321428571428577,17.921428571428574,0.0,200.0,1,0.0,200.0,0.0,300.0,1,0.0,300.0,0.1743550184817087,0.4143550184817087,0,0.1743550184817087,0.4143550184817087
22,2,0.0,0.0,0.01,0,1,1.0,134,0.8495697674418605,1.3535697674418605,0,0.8495697674418605,1.3535697674418605,0.3414901966434151,0.5814901966434152,0,2.731921573147321,4.651921573147321,0.88,1.1,0,0.88,1.1,-0.07034962036221609,0.1696503796377839,0,-1055.2443054332414,2544.7556945667584,-10.903395573365351,37.09660442663465,0,-10.903395573365351,37.09660442663465,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,50.8,0,0.0,50.8,186.8,273.2,0,186.8,273.2,210.0,69599974.8,0,210.0,69599974.8,-10.0,30.0,1,-10.0,30.0,-20.0,24.33,0,-20.0,24.33,0.0,300.0,1,0.0,300.0,0.1743550184817087,0.4143550184817087,0,0.1743550184817087,0.4143550184817087
