year,step,date,dose_kg_ha,action_index,blocked,blocked_reasons,classifier_index
1983,29,1983-04-22,50.0,5,False,,28
1983,31,1983-05-06,60.0,6,False,,46
1983,32,1983-05-13,20.0,2,False,,8
1983,33,1983-05-20,10.0,1,False,,59
1984,32,1984-05-12,60.0,6,False,,4
1984,33,1984-05-19,60.0,6,False,,6
1984,33,1984-05-19,60.0,6,False,,7
1984,34,1984-05-26,20.0,2,False,,8
1984,35,1984-06-02,10.0,1,False,,59
1985,33,1985-05-20,60.0,6,False,,4
1985,34,1985-05-27,60.0,6,False,,6
1985,34,1985-05-27,60.0,6,False,,7
1985,35,1985-06-03,20.0,2,False,,8
1985,36,1985-06-10,10.0,1,False,,59
1986,33,1986-05-20,60.0,6,False,,4
1986,34,1986-05-27,60.0,6,False,,6
1986,34,1986-05-27,60.0,6,False,,7
1986,35,1986-06-03,20.0,2,False,,8
1986,36,1986-06-10,10.0,1,False,,59
1988,28,1988-04-14,50.0,5,False,,28
1988,30,1988-04-28,60.0,6,False,,7
1988,32,1988-05-12,20.0,2,False,,8
1988,33,1988-05-19,20.0,2,False,,8
1991,30,1991-04-29,60.0,6,False,,4
1991,31,1991-05-06,60.0,6,False,,6
1991,31,1991-05-06,60.0,6,False,,7
1991,32,1991-05-13,20.0,2,False,,8
1991,33,1991-05-20,20.0,2,False,,8
1992,28,1992-04-14,50.0,5,False,,28
1992,30,1992-04-28,60.0,6,False,,6
1992,30,1992-04-28,60.0,6,False,,7
1992,32,1992-05-12,20.0,2,False,,8
1992,33,1992-05-19,20.0,2,False,,8
1993,28,1993-04-15,50.0,5,False,,28
1993,30,1993-04-29,60.0,6,False,,46
1993,31,1993-05-06,20.0,2,False,,8
1993,32,1993-05-13,10.0,1,False,,59
1995,30,1995-04-29,10.0,1,False,,27
1995,31,1995-05-06,60.0,6,False,,6
1995,31,1995-05-06,60.0,6,False,,7
1995,32,1995-05-13,60.0,6,False,,6
1995,32,1995-05-13,60.0,6,False,,7
1995,33,1995-05-20,20.0,2,False,,8
