episode,step,date,action_idx,action_val,reward,state_week_idx,state_progress,state_N_cum,state_apps_remaining,state_DVS,state_LAI,state_TAGP,state_prev_action
1,0,2020-04-21,0,0.0,,0.0,0.0,0.0,4.0,-0.1,0.07241999999999998,59.99999999999999,0.0
1,1,2020-04-28,0,0.0,0.0,1.0,0.043478260869565216,0.0,4.0,-0.07203921568627451,0.07241999999999998,59.99999999999999,0.0
1,2,2020-05-05,1,30.0,-15.0,2.0,0.08695652173913043,0.0,4.0,-0.04782352941176471,0.07241999999999998,59.99999999999999,0.0
1,3,2020-05-12,0,0.0,0.0,3.0,0.13043478260869565,30.0,3.0,-0.02233333333333334,0.07241999999999998,59.99999999999999,30.0
1,4,2020-05-19,1,30.0,7.897444171977327,4.0,0.17391304347826086,30.0,3.0,-0.00549019607843138,0.07241999999999998,59.99999999999999,0.0
1,5,2020-05-26,0,0.0,89.06991959211257,5.0,0.21739130434782608,60.0,2.0,0.33378378378378376,0.17067484717896145,136.26752933407624,30.0
1,6,2020-06-02,0,0.0,190.12951352219125,6.0,0.2608695652173913,60.0,2.0,0.7536036036036036,0.7362533844408928,518.3524751416678,0.0
1,7,2020-06-09,0,0.0,224.8492619639187,7.0,0.30434782608695654,60.0,2.0,1.0119047619047619,2.028776217821053,1433.9625946611911,0.0
1,8,2020-06-16,0,0.0,289.39557634165703,8.0,0.34782608695652173,60.0,2.0,1.0646190476190478,3.499725110735043,2874.664454931302,0.0
1,9,2020-06-23,0,0.0,235.48684831278842,9.0,0.391304347826087,60.0,2.0,1.117666666666667,4.434717649771929,4755.853667487394,0.0
1,10,2020-06-30,0,0.0,228.63739236182118,10.0,0.43478260869565216,60.0,2.0,1.179214285714286,4.57388442118379,6477.37418110844,0.0
1,11,2020-07-07,0,0.0,177.0514393771973,11.0,0.4782608695652174,60.0,2.0,1.231166666666667,4.410511407335564,7947.220857732389,0.0
1,12,2020-07-14,0,0.0,157.00277373885365,12.0,0.5217391304347826,60.0,2.0,1.275309523809524,4.22494993641977,9230.255958952905,0.0
1,13,2020-07-21,0,0.0,84.22860300358116,13.0,0.5652173913043478,60.0,2.0,1.3269285714285717,4.012941628878004,10331.483756453166,0.0
