action,pred,fit,eps,exp,num,as_size,lower[0],upper[0],mask[0],lower[1],upper[1],mask[1],lower[2],upper[2],mask[2],lower[3],upper[3],mask[3],lower[4],upper[4],mask[4],lower[5],upper[5],mask[5],lower[6],upper[6],mask[6],lower[7],upper[7],mask[7],lower[8],upper[8],mask[8],lower[9],upper[9],mask[9],lower[10],upper[10],mask[10],lower[11],upper[11],mask[11],lower[12],upper[12],mask[12]
0,-14.325617873682017,0.6813450705393487,2.693049339569948,98,1,1.5715129858508905,0.7728837209302326,1.2768837209302326,0,0.3789345250091648,0.6189345250091649,0,0.0,1.0,1,0.0,1.0,1,-50.0,150.0,1,0.0,10.8,0,0.0,64.8,0,96.8,183.2,0,210.0,119999974.8,0,7.735714285714287,17.335714285714285,0,-20.0,24.21,0,-30.0,36.00233564910106,0,0.1255646842825653,0.3655646842825653,0
0,-14.606406327595431,0.841931378991,2.3827638622337064,114,1,1.5673753805802575,0.9934651162790704,1.4974651162790704,0,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,-50.0,150.0,1,0.0,10.8,0,0.0,78.8,0,96.8,183.2,0,210.0,120699974.8,0,-10.0,30.0,1,0.0,200.0,1,-30.0,36.00013289097015,0,0.0,1.0,1
0,-7.1781955462616605,0.8042870337543732,1.4328354551920892,42,1,3.786395502030396,0.0823435059147915,0.5863435059147916,0,0.0,1.0,1,0.8800000000000002,1.1,0,-0.1,0.12,0,-50.0,150.0,1,69.2,90.0,0,0.0,43.8,0,56.8,143.2,0,0.0,210.0,1,2.9714285714285724,12.571428571428571,0,0.0,200.0,1,-30.0,36.00131003651521,0,0.0,1.0,1
0,-10.748724300701936,0.062274148053088,5.636974806768482,8,1,4.36908288,0.7055225424864173,1.209522542486417,0,0.3379361163683241,0.5779361163683241,0,0.0,1.0,1,0.0,1.0,1,-19.041060184312972,28.958939815687025,0,0.0,90.0,1,0.0,50.8,0,196.8,283.2,0,210.0,83799974.8,0,10.935714285714289,20.535714285714285,0,0.0,200.0,1,0.0,300.0,1,0.2151015443555513,0.4551015443555513,0
0,-4.882071414995782,0.9999902321177426,0.3419269405922257,0,1,1.0000144327352367,0.3546582804199226,0.8502994988979965,0,0.3551869105163922,0.5903981512002162,0,0.0,1.0,1,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,0.0,48.37120723425565,0,129.42879073472804,200.79079030141037,0,-21.0,231.0,0,5.280860777997291,16.236927879967766,0,-12.466857381032964,27.56096074441581,0,-22.98391788270828,45.78711167576349,0,0.0,1.0,1
0,-6.9209367330337805,0.7634384450285582,2.006251505491047,0,1,2.151370787458582,0.7446155039872884,1.2583585948347018,0,0.374367806415043,0.6078222851679019,0,0.9170069073572846,1.1,0,0.0,1.0,1,-50.0,150.0,1,0.4160828412253159,9.359335460579718,0,0.0,82.75,0,148.37886218730162,227.72752929513885,0,-21.0,231.0,0,10.21676882654344,19.83325757278638,0,-20.0,19.59823820589795,0,-21.29407279410444,35.44118533692161,0,0.0,1.0,1
0,-6.9209367330337805,0.7634384450285582,2.006251505491047,0,1,2.151370787458582,0.6699632256657011,1.1678738735787295,0,0.4189418057589401,0.6030636573545494,0,0.9194182521536952,1.1,0,0.0,1.0,1,-50.0,150.0,1,0.0,9.729751521327078,0,0.0,85.01893194605638,0,142.33041472860367,217.43081244104584,0,231.0,231.0,0,7.820091855638281,18.63040431155195,0,-20.0,26.18015444146318,0,-19.390647082783843,36.11454915100538,0,0.0,1.0,1
0,-4.717672001317918,0.6661295051292234,1.793937971538282,0,1,2.170657015334289,0.4071809420814202,0.8756095358466991,0,0.3448867648366178,0.6278538810209529,0,-0.1,0.8479656981771742,0,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,0.0,38.273165740389416,0,112.09234920968376,206.6479087084594,0,231.0,231.0,0,7.286351288796605,17.63153389135207,0,-13.394965685456947,29.48561506266632,0,-30.0,27.84182736603308,0,0.0,1.0,1
0,-8.151484515369479,0.3551477314060089,2.230015966029421,0,1,3.5622684624918666,1.1287510997104582,1.5776696854756285,0,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,6.223035163068371,63.23829463041121,0,181.5200121597181,272.15770788603254,0,231.0,231.0,0,-10.0,30.0,1,0.0,200.0,1,-30.0,40.69489325442691,0,0.0,1.0,1
0,-8.151484515369479,0.3551477314060089,2.230015966029421,0,1,3.5622684624918666,0.986840968419087,1.4004374045343342,0,0.3558985468418987,0.5204695618795396,0,0.9165635291139008,1.0669426015950088,0,0.1124221633025434,0.3437317006210375,0,-50.0,150.0,1,0.0,8.918664376060846,0,0.5599106887639724,66.81633336512117,0,90.11450542277436,195.00023857758688,0,-21.0,221.28224564964304,0,-10.0,30.0,1,0.0,200.0,1,-27.60443103189244,43.56470611917052,0,0.0,1.0,1
