action,pred,fit,eps,exp,num,as_size,lower[DVS],upper[DVS],mask[DVS],lower_raw[DVS],upper_raw[DVS],lower[LAI],upper[LAI],mask[LAI],lower_raw[LAI],upper_raw[LAI],lower[RFTRA],upper[RFTRA],mask[RFTRA],lower_raw[RFTRA],upper_raw[RFTRA],lower[WSO],upper[WSO],mask[WSO],lower_raw[WSO],upper_raw[WSO],lower[Nsurp_sofar],upper[Nsurp_sofar],mask[Nsurp_sofar],lower_raw[Nsurp_sofar],upper_raw[Nsurp_sofar],lower[last_dose_kg_ha],upper[last_dose_kg_ha],mask[last_dose_kg_ha],lower_raw[last_dose_kg_ha],upper_raw[last_dose_kg_ha],lower[last_app_gap_days],upper[last_app_gap_days],mask[last_app_gap_days],lower_raw[last_app_gap_days],upper_raw[last_app_gap_days],lower[cum_N_applied_kg_ha],upper[cum_N_applied_kg_ha],mask[cum_N_applied_kg_ha],lower_raw[cum_N_applied_kg_ha],upper_raw[cum_N_applied_kg_ha],lower[IRRAD_7],upper[IRRAD_7],mask[IRRAD_7],lower_raw[IRRAD_7],upper_raw[IRRAD_7],lower[TMEAN_7],upper[TMEAN_7],mask[TMEAN_7],lower_raw[TMEAN_7],upper_raw[TMEAN_7],lower[RAIN_7],upper[RAIN_7],mask[RAIN_7],lower_raw[RAIN_7],upper_raw[RAIN_7],lower[Ndep_sum],upper[Ndep_sum],mask[Ndep_sum],lower_raw[Ndep_sum],upper_raw[Ndep_sum],lower[SM_mean],upper[SM_mean],mask[SM_mean],lower_raw[SM_mean],upper_raw[SM_mean],score
0,0.0,0.01,0.0,0,1,1.0,1.8319999999999999,2.168,1,1.8319999999999999,2.168,0.0,1.0,0,0.0,1.0,0.9199999999999999,1.08,1,0.9199999999999999,1.08,0.0,1.0,0,0.0,1.0,-70.0,-114.34660509053722,1,-70.0,-114.34660509053722,-7.200000000000001,7.200000000000001,1,-7.200000000000001,7.200000000000001,42.28,55.72,1,42.28,55.72,201.2,258.8,1,201.2,258.8,0.0,210.0,0,0.0,210.0,-10.0,30.0,0,-10.0,30.0,0.0,200.0,0,0.0,200.0,-23.99578034558523,24.004219654414776,1,-23.99578034558523,24.004219654414776,0.2141479443521161,0.3741479443521161,1,0.2141479443521161,0.3741479443521161,0.01
7,0.0,0.01,0.0,0,1,1.0,1.8319999999999999,2.168,1,1.8319999999999999,2.168,0.0,1.0,0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.4957120594225927,0.6557120594225927,1,0.4957120594225927,0.6557120594225927,-70.0,-114.34660509053722,1,-70.0,-114.34660509053722,-7.200000000000001,7.200000000000001,1,-7.200000000000001,7.200000000000001,49.28,62.72,1,49.28,62.72,201.2,258.8,1,201.2,258.8,0.0,210.0,0,0.0,210.0,13.957142857142854,20.357142857142854,1,13.957142857142854,20.357142857142854,-16.000000000000004,16.000000000000004,1,-16.000000000000004,16.000000000000004,-23.995445736454528,24.00455426354548,1,-23.995445736454528,24.00455426354548,0.0,1.0,0,0.0,1.0,0.01
1,-6.767496708833319,0.6436000000000001,5.363809052576255,2,1,1.0,1.8319999999999999,2.168,1,1.8319999999999999,2.168,-0.08000000000000002,0.08000000000000002,1,-0.08000000000000002,0.08000000000000002,0.0,1.0,0,0.0,1.0,0.0,1.0,0,0.0,1.0,-50.0,150.0,0,-50.0,150.0,-7.200000000000001,7.200000000000001,1,-7.200000000000001,7.200000000000001,49.28,62.72,1,49.28,62.72,201.2,258.8,1,201.2,258.8,0.0,210.0,0,0.0,210.0,-10.0,30.0,0,-10.0,30.0,0.0,200.0,0,0.0,200.0,-23.995445736454528,24.00455426354548,1,-23.995445736454528,24.00455426354548,0.21171087338311434,0.37171087338311437,1,0.21171087338311434,0.37171087338311437,0.6436000000000001
8,0.0,0.01,0.0,0,1,1.0,-0.268,0.06800000000000003,1,-0.268,0.06800000000000003,-0.04242231938728854,0.11757768061271148,1,-0.04242231938728854,0.11757768061271148,-0.08000000000000002,0.08000000000000002,1,-0.08000000000000002,0.08000000000000002,-0.08000000000000002,0.08000000000000002,1,-0.08000000000000002,0.08000000000000002,-16.000000000000004,16.000000000000004,1,-16.000000000000004,16.000000000000004,0.0,90.0,0,0.0,90.0,992.28,92.4,1,992.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,0.0,210.0,0,0.0,210.0,6.799999999999999,13.200000000000001,1,6.799999999999999,13.200000000000001,-15.210000000000004,16.790000000000003,1,-15.210000000000004,16.790000000000003,-23.992741031263154,24.007258968736853,1,-23.992741031263154,24.007258968736853,0.22885851081995723,0.38885851081995726,1,0.22885851081995723,0.38885851081995726,0.01
0,0.0,0.01,0.0,0,1,1.0,-0.268,0.06800000000000003,1,-0.268,0.06800000000000003,0.0,1.0,0,0.0,1.0,-0.08000000000000002,0.08000000000000002,1,-0.08000000000000002,0.08000000000000002,-0.08000000000000002,0.08000000000000002,1,-0.08000000000000002,0.08000000000000002,-50.0,150.0,0,-50.0,150.0,0.0,90.0,0,0.0,90.0,992.28,92.4,1,992.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,6299983.2,231.0,1,6299983.2,231.0,6.799999999999999,13.200000000000001,1,6.799999999999999,13.200000000000001,0.0,200.0,0,0.0,200.0,0.0,300.0,0,0.0,300.0,0.22885851081995723,0.38885851081995726,1,0.22885851081995723,0.38885851081995726,0.01
0,0.0,0.01,0.0,0,1,1.0,-0.2035416666666667,0.13245833333333337,1,-0.2035416666666667,0.13245833333333337,-0.04242231938728854,0.11757768061271148,1,-0.04242231938728854,0.11757768061271148,-0.08000000000000002,0.08000000000000002,1,-0.08000000000000002,0.08000000000000002,0.0,1.0,0,0.0,1.0,-16.006360071569524,15.99363992843048,1,-16.006360071569524,15.99363992843048,-7.200000000000001,7.200000000000001,1,-7.200000000000001,7.200000000000001,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,0.0,210.0,0,0.0,210.0,6.966666666666665,13.366666666666667,1,6.966666666666665,13.366666666666667,0.0,200.0,0,0.0,200.0,-23.992699456879663,24.007300543120344,1,-23.992699456879663,24.007300543120344,0.23314464302780202,0.39314464302780205,1,0.23314464302780202,0.39314464302780205,0.01
2,0.0,0.01,0.0,0,1,1.0,-0.16800000000000004,0.16800000000000004,1,-0.16800000000000004,0.16800000000000004,-0.040133312654301166,0.11986668734569886,1,-0.040133312654301166,0.11986668734569886,0.9199999999999999,1.08,1,0.9199999999999999,1.08,0.0,1.0,0,0.0,1.0,-50.0,150.0,0,-50.0,150.0,-7.200000000000001,7.200000000000001,1,-7.200000000000001,7.200000000000001,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,0.0,210.0,0,0.0,210.0,-10.0,30.0,0,-10.0,30.0,0.0,200.0,0,0.0,200.0,-23.992463791212987,24.00753620878702,1,-23.992463791212987,24.00753620878702,0.25144655994161047,0.4114465599416105,1,0.25144655994161047,0.4114465599416105,0.01
3,0.0,0.01,0.0,0,1,1.0,-0.16800000000000004,0.16800000000000004,1,-0.16800000000000004,0.16800000000000004,0.0,1.0,0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,1.0,0,0.0,1.0,-17.23221777097116,14.767782229028846,1,-17.23221777097116,14.767782229028846,0.0,90.0,0,0.0,90.0,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,27599983.2,231.0,1,27599983.2,231.0,7.349999999999998,13.75,1,7.349999999999998,13.75,0.0,200.0,0,0.0,200.0,0.0,300.0,0,0.0,300.0,0.0,1.0,0,0.0,1.0,0.01
0,0.0,0.01,0.0,0,1,1.0,-0.16800000000000004,0.16800000000000004,1,-0.16800000000000004,0.16800000000000004,-0.031532782453474066,0.12846721754652596,1,-0.031532782453474066,0.12846721754652596,0.0,1.0,0,0.0,1.0,-0.08000000000000002,0.08000000000000002,1,-0.08000000000000002,0.08000000000000002,-21.641674668110827,10.35832533188918,1,-21.641674668110827,10.35832533188918,-7.200000000000001,7.200000000000001,1,-7.200000000000001,7.200000000000001,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,0.0,210.0,0,0.0,210.0,-10.0,30.0,0,-10.0,30.0,0.0,200.0,0,0.0,200.0,-23.992729014078595,24.007270985921412,1,-23.992729014078595,24.007270985921412,0.2486859552467683,0.4086859552467683,1,0.2486859552467683,0.4086859552467683,0.01
0,0.0,0.01,0.0,0,1,1.0,-0.16680707020366864,0.16919292979633144,1,-0.16680707020366864,0.16919292979633144,-0.023401814417743146,0.1365981855822569,1,-0.023401814417743146,0.1365981855822569,0.9199999999999999,1.08,1,0.9199999999999999,1.08,-0.08000000000000002,0.08000000000000002,1,-0.08000000000000002,0.08000000000000002,-25.82968272644092,6.170317273559084,1,-25.82968272644092,6.170317273559084,-7.200000000000001,7.200000000000001,1,-7.200000000000001,7.200000000000001,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,52799983.2,231.0,1,52799983.2,231.0,-10.0,30.0,0,-10.0,30.0,0.0,200.0,0,0.0,200.0,-23.99295094581147,24.00704905418854,1,-23.99295094581147,24.00704905418854,0.0,1.0,0,0.0,1.0,0.01
