episode,steps,total_reward,eps,yield_kg_ha,n_applied_kg_ha,n_uptake_kg_ha,nue_re,nue_ie,nue_eunep,nue_fert,nsurp,nsurp_fert,n_apps
1,48,82.81519760967987,0.4464,8358.650808584049,90.0,240.63483663427562,2.57354918590231,0.7068741431337294,1.8191753756047617,1.8899838216977267,-76.59544016716897,-80.0985439546854,3
2,48,88.92837196427732,0.4428288,9000.845013536135,210.0,348.5741247501962,1.6326446995890798,0.5254755962055436,0.8579149469108535,0.8722247429742291,30.335548837703186,26.832803974539672,4
3,48,82.06751467741492,0.4392861696,8300.8952817407,180.0,326.651901417928,1.780091112961852,0.5171352692258809,0.9205478969509435,0.9384623276804711,14.579692208936706,11.076781016576746,4
4,48,80.71283492504581,0.4357718802432,8208.443401046594,150.0,291.35791941049354,1.898063976147106,0.5733217190344498,1.0882013016457568,1.1136121547345639,-13.539136752844314,-17.04182321129818,4
5,48,77.68981047443869,0.4322857052012544,7844.21505165576,100.0,248.07942913717383,2.396845684128841,0.6434623654841009,1.542279993616119,1.596297762995984,-56.12731438740484,-59.62977630119471,4
6,48,83.2528556271943,0.4288274195596444,8432.407761722638,120.0,262.3789026928415,2.124466221751877,0.6540140849330697,1.389430831995565,1.4299958162468807,-48.09605035359084,-51.59949795105567,4
7,48,85.56331869110295,0.4253968002031672,8631.41419738193,100.0,247.04857574116596,2.3868838347658676,0.7109908583324112,1.6970525864268107,1.7564927891496578,-72.14672376911813,-75.64927891672227,4
8,48,86.10641433167898,0.42199362580154187,8685.710124476336,100.0,246.32963043621194,2.3799297249144784,0.7175515211847285,1.707722194432069,1.7675420103132589,-73.2513001469407,-76.75420103309344,4
9,48,84.50775111150318,0.4186176767951295,8525.876185913135,100.0,252.72985146761647,2.4417639653332777,0.6865100397721613,1.6762954769618117,1.7350158038159729,-69.99859850085562,-73.50158038333231,4
10,48,89.9100473409183,0.4152687353807685,9050.001643485355,180.0,324.3861365413044,1.767744263544013,0.5677416902214285,1.0036221160668062,1.0231529635772436,-0.6646686757888745,-4.167533444926988,4
11,48,82.45250243860518,0.41194658549772234,8320.397240801247,100.0,247.18600680924473,2.3881875676627837,0.6849905706041278,1.6358859646896322,1.6932008384861217,-65.81648549233935,-69.32008385030537,4
12,48,79.08683119216093,0.40865101281374056,7983.89224354516,100.0,240.72890914423002,2.325814907716977,0.6749177227323607,1.5697337010198387,1.6247220715451929,-58.96916899813168,-62.47220715614401,4
13,48,80.99285577283075,0.40538180471123064,8184.453860122162,110.0,257.379944221818,2.267609355490707,0.6471119440032896,1.4673970982773392,1.5141239641088353,-53.05086557128635,-56.553636053486,4
14,48,88.46080601974147,0.4021387502735408,8921.1017288506,100.0,251.38439051616817,2.4287630155141895,0.7221785720609857,1.7540006064255484,1.8154442018029424,-78.04136578447049,-81.54442018210969,4
15,48,83.80422378641498,0.39892164027135246,8467.535711776922,100.0,245.36363996630905,2.3706175237599707,0.702281526951665,1.6648408944113124,1.723143517329372,-68.81235805380123,-72.31435173466036,4
16,48,84.1569506176182,0.39573026714918164,8436.813428242838,100.0,242.35860677121468,2.3415675714660638,0.7084095570251692,1.6587888460536193,1.7168915326302485,-68.18643580221234,-71.68915326474175,4
17,48,82.43803115487626,0.3925644250119882,8328.941979869429,110.0,253.10089071144483,2.22990104584622,0.6696695883338863,1.4932969154030407,1.5408542662618365,-55.990775424102836,-59.493969290342875,4
18,48,92.52048386433505,0.38942390961189227,9374.979918227637,190.0,315.34367391603087,1.629660609929001,0.6049933996333415,0.9859339126526176,1.0041096912364647,2.72182541143394,-0.7808413359323936,4
19,48,85.59272496508792,0.38630851833499713,8640.34560794276,120.0,256.8861781713017,2.0799979534291957,0.6844705868281465,1.4236974197905674,1.465258609334749,-52.327941329787265,-55.83103312163516,4
20,48,82.9345178827248,0.38321805018831717,8368.58466856099,100.0,250.56540328341455,2.4208706861475795,0.6796656512547719,1.6453826515106476,1.7030069800351315,-66.79851397087288,-70.30069800521616,4
21,48,88.1319322651384,0.38015230578681064,8840.233235422313,120.0,268.78437851716143,2.1763440258929596,0.6693050665096169,1.456638083003514,1.499156219494541,-56.39603936201421,-59.89874634084407,4
22,48,82.07429872833075,0.3771110873405161,8294.571583516372,100.0,246.73647700827536,2.383865252038602,0.6841085427276034,1.6308225836377086,1.6879453172287022,-65.29183718471761,-68.79453172455817,4
23,48,82.51034356135789,0.374094198641792,8358.168729334366,120.0,259.66734407826675,2.102516199973623,0.6550255067500232,1.3772017393431593,1.417406113671141,-46.585597694929604,-50.08873364195435,4
24,48,85.1732042998614,0.3711014450526577,8598.400888697288,120.0,265.7127902753666,2.151466121206661,0.6585210215247697,1.416785667918276,1.4581454840294306,-51.47433263294283,-54.97745808498982,4
25,48,79.53855080397501,0.3681326334922364,7987.058779752663,100.0,250.88702791869255,2.4239589936481876,0.6478479478022025,1.5703568595979296,1.6253664616634131,-59.033646086818365,-62.536646167966694,4
26,48,91.19813057697006,0.3651875724242985,9225.7755414776,220.0,360.1630726842428,1.6114447679662538,0.521276461990718,0.8400082273412345,0.853384237582799,35.758674196505325,32.25546773093083,4
27,48,77.99350443664066,0.3622660718449041,7822.592348805417,90.0,228.0682822305437,2.439153570865138,0.6979916397869593,1.70250880062784,1.768775047738016,-65.68671088497393,-69.18975429819022,3
28,48,90.35425657004252,0.3593679432701449,9185.39166894824,210.0,344.84725008351234,1.615195822149495,0.5420449790952,0.8755087856542162,0.8901081926771742,26.57910102067612,23.07727953690332,4
29,48,85.24985784066278,0.35649299972398374,8556.083872847265,110.0,253.78249466966975,2.2359223079780475,0.6860847791664682,1.5340322629085432,1.582875516462354,-60.61393074064968,-64.11630681244182,4
30,48,90.44509087950306,0.35364105572619187,9181.477931252944,150.0,293.80540466680117,1.9140127505133986,0.6359415889992102,1.2172003099303823,1.2456205059983456,-33.34075226909931,-36.843075900997434,4
31,48,85.7237369892807,0.35081192728038235,8581.460219384193,100.0,243.55710401229808,2.35314315043923,0.7170093279436164,1.6872255888584842,1.74632715462722,-71.12983083780067,-74.63271546446833,4
32,48,86.10753975242521,0.3480054318621393,8718.817225686273,210.0,352.7262303724684,1.6520895726061848,0.5030188153425789,0.8310321396545466,0.8448949073422417,36.07516046365626,32.57206945728436,4
33,48,89.29444485563839,0.34522138840724215,9019.447019770996,150.0,289.05616039178506,1.8830661436770377,0.6349829963939462,1.1957149823241753,1.2236383123407741,-30.04282218849022,-33.54574685233976,4
