episode,steps,total_reward,eps,yield_kg_ha,n_applied_kg_ha,n_uptake_kg_ha,nue_re,nue_ie,nue_eunep,nue_fert,nsurp,nsurp_fert,n_apps
1,48,-6.061094929996999,0.4464,9242.56179982699,180.0,327.74984631638307,1.786075037169302,0.5738710017405845,1.0249766707673262,1.0449229590301907,-4.5832900840751165,-8.086132626479241,4
2,48,-8.59696310394093,0.4428288,9292.908268573894,240.0,373.22164464248704,1.5327152868356064,0.5066980599319827,0.776623862269775,0.787961180269545,54.39288706263841,50.88931673452126,4
3,48,-7.274270023633027,0.4392861696,9448.842850309058,180.0,307.34070742559607,1.6748535811440675,0.6256377608218839,1.0478516442148973,1.068244177792895,-8.78092171860979,-12.283952003789324,4
4,48,-4.604176327216694,0.4357718802432,9056.357952328259,220.0,362.53692366972325,1.622067055984204,0.5083534180845785,0.8245833322742339,0.8377131105865562,39.20615910510824,35.70311567011993,4
5,48,-4.646637304191553,0.4322857052012544,8638.173156933233,200.0,336.77057254850996,1.6548680728181198,0.5219779816650939,0.8638046965741708,0.8789341187135619,27.71614913892941,24.2131762564087,4
6,48,-8.551366595578541,0.4288274195596444,9216.243423215685,170.0,317.8787862984366,1.8321257925810217,0.5900065111163777,1.0809661468104574,1.103238550949035,-14.047845724033806,-17.55055366243917,4
7,48,-5.074617670104152,0.4253968002031672,8663.956053459764,180.0,327.9449733976132,1.787137872801921,0.5376252724983885,0.960810485860253,0.9795083649273705,7.191389296723884,3.688494312093809,4
8,48,-5.48525752724897,0.42199362580154187,9095.188620301327,180.0,308.2892471635955,1.6800224837539528,0.6003682909002469,1.0086322272486201,1.0282616023450208,-1.5840400156763224,-5.087088423132002,4
9,48,-4.585238773544901,0.4186176767951295,9137.127535701049,220.0,334.0539429410769,1.4946275185645377,0.5566183225197177,0.8319370621776916,0.8451842970485053,37.562594253736364,34.059454648483666,4
10,48,-5.045310958633665,0.4152687353807685,9558.596145314244,200.0,350.7614047087307,1.7236217345236704,0.554557682074845,0.9558476738739955,0.9725871577808615,8.98511060819942,5.482568442855126,4
11,48,-5.077810330335397,0.41194658549772234,9216.388996720989,190.0,326.10924640171834,1.6852953421871741,0.5751248029675884,0.9692551516205652,0.9871237688541316,5.949212036066825,2.4464839167278853,4
12,48,-5.103851446779878,0.40865101281374056,9004.277576193675,180.0,325.27212741121275,1.7725675550961382,0.5633346150293647,0.9985486612666948,1.0179836037473518,0.26632555371256217,-3.2370486755413026,4
13,48,-5.083529760185562,0.40538180471123064,8829.412825024834,180.0,327.7390979680583,1.7860139914629238,0.5482365457850218,0.9791581414063405,0.9982141721569843,3.8245455894120823,0.3214490107446295,4
14,48,-7.409306824778663,0.4021387502735408,8545.170193978774,220.0,335.5414181157896,1.5012836220002088,0.5182496230225202,0.7780396711538107,0.7904282429394438,49.608803036010045,46.10578655253195,4
15,48,-16.463548703474814,0.39892164027135246,8022.381873650798,100.0,248.73403937660714,2.403156008718237,0.656345514820965,1.577300667743608,1.632554711271612,-59.75239497733307,-63.255471128793744,3
16,48,-6.694292892861605,0.39573026714918164,8350.5952570301,160.0,307.0902531863849,1.878196468564138,0.5533702607515494,1.0393380695553607,1.0620913342468778,-6.431881831155181,-9.934613480562518,4
17,48,-8.485313671212552,0.3925644250119882,8710.095283255956,160.0,291.7956190709025,1.7846451147021352,0.6074472248008006,1.0840777221838336,1.1078152438321933,-13.746996976809271,-17.250439014258717,4
18,48,-23.240911670750336,0.38942390961189227,7595.4651452069775,50.0,213.62374173314308,3.9927815925439374,0.7235512047969045,2.8889819317895924,3.091354314037413,-101.06522958649555,-104.56771570496198,2
19,48,-7.964169949245752,0.38630851833499713,8608.127323184292,160.0,291.0314003727797,1.7799770430166515,0.6019123393620679,1.0713901459766102,1.0948461939106593,-11.672495574975585,-15.175391026800327,4
20,48,-16.729642305487058,0.38321805018831717,8211.353041677621,110.0,254.68817856858706,2.2439008731134185,0.6561004728866263,1.4722244239662081,1.5191003126965499,-53.59861474224695,-57.1010343981396,4
21,48,-6.115247372278931,0.38015230578681064,8234.327617722847,160.0,302.78220005799824,1.8518425081889769,0.5534293858357875,1.0248640619750147,1.047303543872579,-4.0653540221342155,-7.568567020659941,4
22,48,-8.550138131107463,0.3771110873405161,8723.833828869094,160.0,307.7014006253446,1.8819376245040256,0.5769555096470574,1.0857942812732213,1.1095626151023532,-14.027574650490465,-17.530018417486048,4
23,48,-4.69470642176336,0.374094198641792,8187.115391666936,190.0,328.0124293220365,1.6951236222932866,0.5079313566387504,0.8610064411444467,0.8768831485239226,26.895746303712485,23.392201779577846,4
24,48,-13.387492940957852,0.3711014450526577,8870.422191622672,140.0,275.51482282964906,1.9199208106816434,0.6551846820614712,1.2579027059342203,1.2893792257016572,-37.00986933385349,-40.513091599521374,4
