classifier_index,action,p,eps,F,exp,num,as_size,ts_ga,DVS_lo,DVS_hi,DVS_mask,DVS_lo_raw,DVS_hi_raw,LAI_lo,LAI_hi,LAI_mask,LAI_lo_raw,LAI_hi_raw,RFTRA_lo,RFTRA_hi,RFTRA_mask,RFTRA_lo_raw,RFTRA_hi_raw,WSO_lo,WSO_hi,WSO_mask,WSO_lo_raw,WSO_hi_raw,Nsurp_sofar_lo,Nsurp_sofar_hi,Nsurp_sofar_mask,Nsurp_sofar_lo_raw,Nsurp_sofar_hi_raw,last_dose_kg_ha_lo,last_dose_kg_ha_hi,last_dose_kg_ha_mask,last_dose_kg_ha_lo_raw,last_dose_kg_ha_hi_raw,last_app_gap_days_lo,last_app_gap_days_hi,last_app_gap_days_mask,last_app_gap_days_lo_raw,last_app_gap_days_hi_raw,cum_N_applied_kg_ha_lo,cum_N_applied_kg_ha_hi,cum_N_applied_kg_ha_mask,cum_N_applied_kg_ha_lo_raw,cum_N_applied_kg_ha_hi_raw,IRRAD_7_lo,IRRAD_7_hi,IRRAD_7_mask,IRRAD_7_lo_raw,IRRAD_7_hi_raw,TMEAN_7_lo,TMEAN_7_hi,TMEAN_7_mask,TMEAN_7_lo_raw,TMEAN_7_hi_raw,RAIN_7_lo,RAIN_7_hi,RAIN_7_mask,RAIN_7_lo_raw,RAIN_7_hi_raw,Ndep_sum_lo,Ndep_sum_hi,Ndep_sum_mask,Ndep_sum_lo_raw,Ndep_sum_hi_raw,SM_mean_lo,SM_mean_hi,SM_mean_mask,SM_mean_lo_raw,SM_mean_hi_raw
0,3,-10.276091843732365,4.15619877937268,0.9007402294511212,20,1,1.2304,31,0.12353510855239835,0.6275351085523984,0,0.12353510855239835,0.6275351085523984,0.0,1.0,1,0.0,8.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,0.0,50.8,0,0.0,50.8,-13.199999999999996,73.19999999999999,0,-13.199999999999996,73.19999999999999,210.0,76799974.8,0,210.0,76799974.8,4.764285714285715,14.364285714285714,0,4.764285714285715,14.364285714285714,-20.0,27.06,0,-20.0,27.06,-30.0,36.001143528185985,0,-30.0,36.001143528185985,0.0,1.0,1,0.0,1.0
1,7,-8.186333727545291,2.7748550739116435,0.3886125274408092,14,1,2.928169652224,35,0.4882838854825069,0.9922838854825069,0,0.4882838854825069,0.9922838854825069,0.32024712195549365,0.5602471219554936,0,2.561976975643949,4.481976975643949,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-70.0,-27.675905156474812,0,-70.0,-27.675905156474812,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,50.8,0,0.0,50.8,106.80000000000001,193.2,0,106.80000000000001,193.2,210.0,64199974.8,0,210.0,64199974.8,6.392857142857145,15.992857142857144,0,6.392857142857145,15.992857142857144,-16.549999999999997,31.450000000000003,0,-16.549999999999997,31.450000000000003,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
2,4,-5.590510302103923,1.0102557264527938,0.977696098293419,10,1,3.56,79,0.1506997745408442,0.6546997745408443,0,0.1506997745408442,0.6546997745408443,0.22631777776654832,0.4663177777665483,0,1.8105422221323866,3.7305422221323865,0.0,1.0,1,0.0,1.0,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,9.200000000000001,30.799999999999997,0,9.200000000000001,30.799999999999997,0.0,43.8,0,0.0,43.8,116.80000000000001,203.2,0,116.80000000000001,203.2,210.0,73699974.8,0,210.0,73699974.8,6.035714285714286,15.635714285714286,0,6.035714285714286,15.635714285714286,0.0,200.0,1,0.0,200.0,0.0,300.0,1,0.0,300.0,0.19929551187455902,0.439295511874559,0,0.19929551187455902,0.439295511874559
3,3,-14.238202322719788,3.970924600401668,0.9997207101191619,16,1,1.0,184,1.0846860465116277,1.5886860465116277,0,1.0846860465116277,1.5886860465116277,0.0,1.0,1,0.0,8.0,0.8800000000000002,1.1,0,0.8800000000000002,1.1,0.0,1.0,1,0.0,15000.0,-70.0,-32.76566164463783,0,-70.0,-32.76566164463783,0.0,90.0,1,0.0,90.0,0.0,71.8,0,0.0,71.8,196.8,283.2,0,196.8,283.2,210.0,142299974.8,0,210.0,142299974.8,-10.0,30.0,1,-10.0,30.0,-20.0,24.0,0,-20.0,24.0,-30.0,36.009042858085614,0,-30.0,36.009042858085614,0.18405835535099213,0.4240583553509921,0,0.18405835535099213,0.4240583553509921
4,6,-11.342030282715463,4.667162044370059,0.9998994556428983,18,1,1.0,270,0.05142199846659784,0.5554219984665978,0,0.05142199846659784,0.5554219984665978,0.0,1.0,1,0.0,8.0,0.0,1.0,1,0.0,1.0,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,69.2,90.0,0,69.2,90.0,0.0,43.8,0,0.0,43.8,96.80000000000001,183.2,0,96.80000000000001,183.2,210.0,116799974.8,0,210.0,116799974.8,-10.0,30.0,1,-10.0,30.0,-20.0,24.72,0,-20.0,24.72,-30.0,36.00617084833267,0,-30.0,36.00617084833267,0.21282208015366444,0.45282208015366443,0,0.21282208015366444,0.45282208015366443
5,8,-10.308873528586563,8.13054436997207,0.9940138485760001,10,1,1.0,270,0.05142199846659784,0.5554219984665978,0,0.05142199846659784,0.5554219984665978,0.14240104299599138,0.38240104299599137,0,1.139208343967931,3.059208343967931,0.8799999999999999,1.1,0,0.8799999999999999,1.1,-0.1,0.12,0,-1500.0,1800.0,0.020573227752304746,48.02057322775231,0,0.020573227752304746,48.02057322775231,0.0,90.0,1,0.0,90.0,0.0,43.8,0,0.0,43.8,96.80000000000001,183.2,0,96.80000000000001,183.2,210.0,116799974.8,0,210.0,116799974.8,-10.0,30.0,1,-10.0,30.0,0.0,200.0,1,0.0,200.0,-30.0,36.00617084833267,0,-30.0,36.00617084833267,0.21282208015366444,0.45282208015366443,0,0.21282208015366444,0.45282208015366443
6,0,-12.164495787305723,9.122384537634613,0.871696,4,1,1.0,271,0.1122141365381581,0.6162141365381582,0,0.1122141365381581,0.6162141365381582,0.21207975564110476,0.45207975564110475,0,1.696638045128838,3.616638045128838,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,56.34766756927297,104.34766756927297,0,56.34766756927297,104.34766756927297,69.2,90.0,0,69.2,90.0,0.0,43.8,0,0.0,43.8,176.8,263.2,0,176.8,263.2,210.0,119199974.8,0,210.0,119199974.8,3.8714285714285728,13.471428571428572,0,3.8714285714285728,13.471428571428572,0.0,200.0,1,0.0,200.0,-30.0,36.01191327622493,0,-30.0,36.01191327622493,0.0,1.0,1,0.0,1.0
7,8,-11.359552080177943,7.043707082791691,0.95381056,6,1,1.0,271,0.1122141365381581,0.6162141365381582,0,0.1122141365381581,0.6162141365381582,0.21207975564110476,0.45207975564110475,0,1.696638045128838,3.616638045128838,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,56.34766756927297,104.34766756927297,0,56.34766756927297,104.34766756927297,69.2,90.0,0,69.2,90.0,0.0,43.8,0,0.0,43.8,176.8,263.2,0,176.8,263.2,210.0,119199974.8,0,210.0,119199974.8,3.8714285714285728,13.471428571428572,0,3.8714285714285728,13.471428571428572,-20.0,24.78,0,-20.0,24.78,-30.0,36.01191327622493,0,-30.0,36.01191327622493,0.0,1.0,1,0.0,1.0
8,2,-6.9301963345852275,6.9301963345852275,0.6436000000000001,2,1,1.0,273,0.2790210200377049,0.7830210200377049,0,0.2790210200377049,0.7830210200377049,0.35306940654842056,0.5930694065484206,0,2.8245552523873645,4.744555252387364,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,88.83846058741241,136.8384605874124,0,88.83846058741241,136.8384605874124,0.0,90.0,1,0.0,90.0,0.0,50.8,0,0.0,50.8,256.8,343.2,0,256.8,343.2,210.0,89399974.8,0,210.0,89399974.8,4.335714285714286,13.935714285714287,0,4.335714285714286,13.935714285714287,-20.0,27.54,0,-20.0,27.54,-30.0,36.023420802654094,0,-30.0,36.023420802654094,0.0,1.0,1,0.0,1.0
9,3,-10.60646283387344,6.909541817601317,0.31112479388705705,4,1,2.5104,274,0.3771587175546348,0.8811587175546348,0,0.3771587175546348,0.8811587175546348,0.0,1.0,1,0.0,8.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1,0.0,15000.0,65.11750150302012,113.11750150302012,0,65.11750150302012,113.11750150302012,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,57.8,0,0.0,57.8,256.8,343.2,0,256.8,343.2,210.0,119199974.8,0,210.0,119199974.8,4.57142857142857,14.17142857142857,0,4.57142857142857,14.17142857142857,-20.0,27.48,0,-20.0,27.48,0.0,300.0,1,0.0,300.0,0.1937472898595664,0.4337472898595664,0,0.1937472898595664,0.4337472898595664
