classifier_index,action,p,eps,F,exp,num,as_size,ts_ga,DVS_lo,DVS_hi,DVS_mask,DVS_lo_raw,DVS_hi_raw,LAI_lo,LAI_hi,LAI_mask,LAI_lo_raw,LAI_hi_raw,RFTRA_lo,RFTRA_hi,RFTRA_mask,RFTRA_lo_raw,RFTRA_hi_raw,WSO_lo,WSO_hi,WSO_mask,WSO_lo_raw,WSO_hi_raw,Nsurp_sofar_lo,Nsurp_sofar_hi,Nsurp_sofar_mask,Nsurp_sofar_lo_raw,Nsurp_sofar_hi_raw,last_dose_kg_ha_lo,last_dose_kg_ha_hi,last_dose_kg_ha_mask,last_dose_kg_ha_lo_raw,last_dose_kg_ha_hi_raw,last_app_gap_days_lo,last_app_gap_days_hi,last_app_gap_days_mask,last_app_gap_days_lo_raw,last_app_gap_days_hi_raw,cum_N_applied_kg_ha_lo,cum_N_applied_kg_ha_hi,cum_N_applied_kg_ha_mask,cum_N_applied_kg_ha_lo_raw,cum_N_applied_kg_ha_hi_raw,IRRAD_7_lo,IRRAD_7_hi,IRRAD_7_mask,IRRAD_7_lo_raw,IRRAD_7_hi_raw,TMEAN_7_lo,TMEAN_7_hi,TMEAN_7_mask,TMEAN_7_lo_raw,TMEAN_7_hi_raw,RAIN_7_lo,RAIN_7_hi,RAIN_7_mask,RAIN_7_lo_raw,RAIN_7_hi_raw,Ndep_sum_lo,Ndep_sum_hi,Ndep_sum_mask,Ndep_sum_lo_raw,Ndep_sum_hi_raw,SM_mean_lo,SM_mean_hi,SM_mean_mask,SM_mean_lo_raw,SM_mean_hi_raw
0,0,-6.188696949051022,0.3119456936627933,0.9999999999999999,1022,2,1.9999999999999998,18550,0.051647478013224,0.555647478013224,0,0.051647478013224,0.555647478013224,0.0,1.0,1,0.0,8.0,0.0,1.0,1,0.0,1.0,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,321.2,365.0,0,321.2,365.0,-36.0,43.199999999999996,0,-36.0,43.199999999999996,210.0,124199974.8,0,210.0,124199974.8,-10.0,30.0,1,-10.0,30.0,0.0,200.0,1,0.0,200.0,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
1,3,-14.916597407831542,3.0324304302625062,0.9999638040314434,20,1,1.0,33,0.33360448852130786,0.8376044885213079,0,0.33360448852130786,0.8376044885213079,0.0,1.0,1,0.0,8.0,0.0,1.0,1,0.0,1.0,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,10.799999999999999,0,0.0,10.799999999999999,321.2,365.0,0,321.2,365.0,-36.0,43.199999999999996,0,-36.0,43.199999999999996,210.0,125099974.8,0,210.0,125099974.8,6.499999999999999,16.099999999999998,0,6.499999999999999,16.099999999999998,-20.0,24.0,0,-20.0,24.0,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
2,8,-11.88568585470715,4.508616126818884,0.9999638040314434,20,1,1.0,35,0.5400943305077639,1.044094330507764,0,0.5400943305077639,1.044094330507764,0.4033152316699199,0.6433152316699199,0,3.226521853359359,5.146521853359359,0.0,1.0,1,0.0,1.0,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,19.200000000000003,40.8,0,19.200000000000003,40.8,0.0,43.8,0,0.0,43.8,-13.199999999999996,73.19999999999999,0,-13.199999999999996,73.19999999999999,210.0,143099974.8,0,210.0,143099974.8,6.114285714285715,15.714285714285715,0,6.114285714285715,15.714285714285715,-20.0,24.0,0,-20.0,24.0,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
3,4,-12.757769051540704,3.253514216366472,0.9999638040314434,20,1,1.0,38,0.837767441860465,1.341767441860465,0,0.837767441860465,1.341767441860465,0.3861255069327505,0.6261255069327505,0,3.089004055462004,5.009004055462004,0.88,1.1,0,0.88,1.1,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,57.8,0,0.0,57.8,-3.1999999999999957,83.19999999999999,0,-3.1999999999999957,83.19999999999999,0.0,210.0,1,0.0,210.0,8.485714285714284,18.085714285714282,0,8.485714285714284,18.085714285714282,0.0,200.0,1,0.0,200.0,-30.0,36.000152607866205,0,-30.0,36.000152607866205,0.1239275534719805,0.36392755347198047,0,0.1239275534719805,0.36392755347198047
4,6,-12.453215876949994,4.043810469464133,0.95381056,6,1,1.0,39,0.9516627906976742,1.4556627906976742,0,0.9516627906976742,1.4556627906976742,0.38061402182569204,0.620614021825692,0,3.0449121746055363,4.964912174605536,0.88,1.1,0,0.88,1.1,0.031510414271023135,0.2715104142710231,0,472.656214065347,4072.656214065347,-50.0,150.0,1,-50.0,150.0,29.200000000000003,50.8,0,29.200000000000003,50.8,0.0,43.8,0,0.0,43.8,36.800000000000004,123.19999999999999,0,36.800000000000004,123.19999999999999,0.0,210.0,1,0.0,210.0,9.678571428571427,19.27857142857143,0,9.678571428571427,19.27857142857143,-20.0,26.85,0,-20.0,26.85,-30.0,36.00012277001468,0,-30.0,36.00012277001468,0.13007371932115702,0.370073719321157,0,0.13007371932115702,0.370073719321157
5,0,-13.385545689281992,2.9530315161286382,0.08634162249785873,96,1,4.656520481334445,5837,0.1191830020909933,0.6231830020909933,0,0.1191830020909933,0.6231830020909933,0.22665089744101719,0.4666508974410172,0,1.8132071795281375,3.7332071795281374,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,50.8,0,0.0,50.8,-23.199999999999996,63.199999999999996,0,-23.199999999999996,63.199999999999996,0.0,210.0,1,0.0,210.0,-10.0,30.0,1,-10.0,30.0,-20.0,24.0,0,-20.0,24.0,-30.0,36.00061750926799,0,-30.0,36.00061750926799,0.0,1.0,1,0.0,1.0
6,7,-16.74749358469517,3.414860262538314,0.9999999999382563,46,1,1.0,81,0.3038699206232103,0.8078699206232103,0,0.3038699206232103,0.8078699206232103,0.38757428591143384,0.6275742859114338,0,3.1005942872914707,5.020594287291471,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,0.0,64.8,0,0.0,64.8,-23.199999999999996,63.199999999999996,0,-23.199999999999996,63.199999999999996,210.0,158799974.8,0,210.0,158799974.8,6.314285714285714,15.914285714285715,0,6.314285714285714,15.914285714285715,0.0,200.0,1,0.0,200.0,0.0,300.0,1,0.0,300.0,0.1775377705503407,0.4175377705503407,0,0.1775377705503407,0.4175377705503407
7,0,-13.255721469278498,1.8825599905084256,0.22123117337344375,118,1,5.108469933959691,7139,0.3038699206232103,0.8078699206232103,0,0.3038699206232103,0.8078699206232103,0.0,1.0,1,0.0,8.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,64.8,0,0.0,64.8,-23.199999999999996,63.199999999999996,0,-23.199999999999996,63.199999999999996,0.0,210.0,1,0.0,210.0,6.314285714285714,15.914285714285715,0,6.314285714285714,15.914285714285715,0.0,200.0,1,0.0,200.0,0.0,300.0,1,0.0,300.0,0.1775377705503407,0.4175377705503407,0,0.1775377705503407,0.4175377705503407
8,2,-9.997852934341216,2.5235618076218262,0.9833718016,8,1,1.0,86,0.8155581395348837,1.3195581395348837,0,0.8155581395348837,1.3195581395348837,0.0,1.0,1,0.0,8.0,0.8800000000000002,1.1,0,0.8800000000000002,1.1,0.0,1.0,1,0.0,15000.0,-60.91134571632379,-12.911345716323787,0,-60.91134571632379,-12.911345716323787,69.2,90.0,0,69.2,90.0,0.0,43.8,0,0.0,43.8,96.80000000000001,183.2,0,96.80000000000001,183.2,0.0,210.0,1,0.0,210.0,7.799999999999998,17.4,0,7.799999999999998,17.4,-20.0,24.9,0,-20.0,24.9,-30.0,36.001807599784044,0,-30.0,36.001807599784044,0.177400939169291,0.417400939169291,0,0.177400939169291,0.417400939169291
9,0,-6.616572046857719,5.698612321441617,0.6436000000000001,2,1,1.0,87,0.9266046511627906,1.4306046511627906,0,0.9266046511627906,1.4306046511627906,0.37606185808915,0.6160618580891499,0,3.0084948647132,4.928494864713199,0.88,1.1,0,0.88,1.1,0.006946686568669175,0.24694668656866917,0,104.20029853003763,3704.2002985300373,-50.0,150.0,1,-50.0,150.0,9.200000000000001,30.799999999999997,0,9.200000000000001,30.799999999999997,0.0,43.8,0,0.0,43.8,116.80000000000001,203.2,0,116.80000000000001,203.2,210.0,82599974.8,0,210.0,82599974.8,8.642857142857146,18.242857142857147,0,8.642857142857146,18.242857142857147,-20.0,24.57,0,-20.0,24.57,-30.0,36.00760329675422,0,-30.0,36.00760329675422,0.16905908400299352,0.4090590840029935,0,0.16905908400299352,0.4090590840029935
10,5,-6.768629689770494,1.037389284720524,0.9096714108649878,14,1,1.6912,88,1.071953488372093,1.575953488372093,0,1.071953488372093,1.575953488372093,0.0,1.0,1,0.0,8.0,0.0,1.0,1,0.0,1.0,0.09686077334376259,0.3368607733437626,0,1452.9116001564387,5052.911600156439,-70.0,-41.74410961406345,0,-70.0,-41.74410961406345,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,50.8,0,0.0,50.8,116.80000000000001,203.2,0,116.80000000000001,203.2,0.0,210.0,1,0.0,210.0,11.714285714285712,21.314285714285713,0,11.714285714285712,21.314285714285713,-20.0,24.0,0,-20.0,24.0,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
11,5,-9.350534649385716,4.170907025292612,0.9344340993202744,40,1,1.1235629671842926,127,0.1505845575363436,0.6545845575363436,0,0.1505845575363436,0.6545845575363436,0.0,1.0,1,0.0,8.0,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-70.0,-42.454316316353726,0,-70.0,-42.454316316353726,0.0,90.0,1,0.0,90.0,0.0,50.8,0,0.0,50.8,46.800000000000004,133.2,0,46.800000000000004,133.2,210.0,100399974.8,0,210.0,100399974.8,4.221428571428572,13.821428571428573,0,4.221428571428572,13.821428571428573,-20.0,24.03,0,-20.0,24.03,-30.0,36.00562388380856,0,-30.0,36.00562388380856,0.19400509358717294,0.43400509358717293,0,0.19400509358717294,0.43400509358717293
12,3,-15.117816569768436,4.112096630556814,0.8978993781967418,44,1,1.3228915821030713,128,0.23797009700173494,0.7419700970017349,0,0.23797009700173494,0.7419700970017349,0.0,1.0,1,0.0,8.0,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,57.8,0,0.0,57.8,46.800000000000004,133.2,0,46.800000000000004,133.2,210.0,98699974.8,0,210.0,98699974.8,-10.0,30.0,1,-10.0,30.0,-20.0,24.01,0,-20.0,24.01,0.0,300.0,1,0.0,300.0,0.19279267022339447,0.43279267022339446,0,0.19279267022339447,0.43279267022339446
13,4,-7.98007118892771,1.1645526854643249,0.9986243347877842,30,1,1.0018946713452543,130,0.4187263046766786,0.9227263046766786,0,0.4187263046766786,0.9227263046766786,0.0,1.0,1,0.0,8.0,0.0,1.0,1,0.0,1.0,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,19.200000000000003,40.8,0,19.200000000000003,40.8,0.0,43.8,0,0.0,43.8,76.80000000000001,163.2,0,76.80000000000001,163.2,0.0,210.0,1,0.0,210.0,-10.0,30.0,1,-10.0,30.0,-20.0,24.87,0,-20.0,24.87,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
14,2,-9.96840716491515,2.210569515331513,0.9086464641034026,18,1,1.3240935424,175,0.14564782711564,0.6496478271156401,0,0.14564782711564,0.6496478271156401,0.2890457994898763,0.5290457994898763,0,2.3123663959190104,4.23236639591901,0.0,1.0,1,0.0,1.0,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,59.2,80.8,0,59.2,80.8,0.0,43.8,0,0.0,43.8,46.800000000000004,133.2,0,46.800000000000004,133.2,210.0,115699974.8,0,210.0,115699974.8,-10.0,30.0,1,-10.0,30.0,0.0,200.0,1,0.0,200.0,-30.0,36.000188410397946,0,-30.0,36.000188410397946,0.1985192715477399,0.4385192715477399,0,0.1985192715477399,0.4385192715477399
15,1,-11.340205510342935,3.426140664750795,0.2077954511448247,12,1,5.9276469248,319,0.1393481127652434,0.6433481127652434,0,0.1393481127652434,0.6433481127652434,0.0,1.0,1,0.0,8.0,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-70.0,-34.48355087984717,0,-70.0,-34.48355087984717,0.0,90.0,1,0.0,90.0,0.0,50.8,0,0.0,50.8,46.800000000000004,133.2,0,46.800000000000004,133.2,210.0,88699974.8,0,210.0,88699974.8,1.4785714285714295,11.07857142857143,0,1.4785714285714295,11.07857142857143,-20.0,24.14,0,-20.0,24.14,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
